id,name,intro,
1,法治,人民日报法治专栏，主要内容在于宣扬法治精神、普及法律意识。,
2,打击违法犯罪,1.酒驾治理 2.赌博惩处,
3,网络安全,针对目前网络诈骗频发现象，以案说法，提升民众防骗意识。,
4,法治社区,涉及群众生活方方面面，从交通治理到矛盾调解。,
5,乡村知识产权,重视乡村知识产权保护，释放乡村创新活力。,
6,住房权益,关注生活中的住房问题，包括合同签定、家具定制等方面。,
7,赌博,,
8,犯罪,,
9,酒驾,,
10,执法,,
11,醉驾,,
12,网络,,
13,个人信息,,
14,平台,,
15,互联网,,
16,APP,,
17,法治,,
18,文化,,
19,社区,,
20,纠纷,,
21,调解,,
22,法律,,
23,知识产权,,
24,乡村,,
25,酒精,,
26,惩罚性,,
27,保护,,
28,公司,,
29,合同,,
30,房屋中介,,
31,支付,,
32,家具,,
33,奋斗百年路 启航新征程专题,人民日报专题栏目，主要刊登回顾与展望国家建设发展相关报道。,
34,作风建设,强调组织领导干部作风建设问题，要求清廉执政。,
35,冬奥会,回顾2008年奥运会举办历程，为2021冬奥会举办建言献策。,
36,试验区改革,深化试验区改革，促进经济发展。,
37,脱贫攻坚,打赢脱贫攻坚战，带动群众脱贫致富。,
38,京津冀协同发展,审议京津冀协同发展战略，推动雄安新区规划建设。,
39,活动,,
40,教育,,
41,作风,,
42,干部,,
43,群众路线,,
44,领导,,
45,北京,,
46,奥运,,
47,奥运会,,
48,世界,,
49,改革,,
50,发展,,
51,深化改革,,
52,试验区,,
53,战略,,
54,总书记,,
55,特色,,
56,习近平,,
57,群众,,
58,脱贫,,
59,协同,,
60,京津冀,,
61,中心,,
62,企业,,
63,要闻,人民日报要闻专栏，刊登当日最重要报道的栏目。,
64,党史学习,回顾百年党史，坚守初心使命。,
65,国际合作 抗击疫情,全球合作、强调发展，向其他国家提供疫苗援助，共抗疫情。,
66,贯彻一国两制,坚持一国两制方针，助力香港融入国家发展大局。,
67,民生保障,扎实做好民生工作，为人民群众排忧解难。,
68,企业服务,服务推动企业发展，同时确保农村企业与农业之间的平衡；支持企业创新发展，推动高校相关企业的创新改革。,
69,党史,,
70,历史,,
71,学习,,
72,政治,,
73,烈士,,
74,亚洲,,
75,全球,,
76,合作,,
77,国际,,
78,推动,,
79,疫情,,
80,疫苗,,
81,经济,,
82,产品,,
83,创新,,
84,制度,,
85,国家,,
86,完善,,
87,我国,,
88,构建,,
89,生态,,
90,香港,,
91,保障,,
92,国务院,,
93,情况,,
94,接种,,
95,服务,,
96,武汉,,
97,监督,,
98,粮食,,
99,耕地,,
100,草案,,
101,部门,,
102,预算,,
103,一季度,,
104,产业,,
105,农业,,
106,同比,,
107,增长,,
108,技术,,
109,项目,,
110,高校,,
111,社会,人民日报社会专栏，刊登社会重要社会事件相关报道。,
112,医疗体制改革,医疗相关报道，主要涉及促进中医药发展和保障群众医疗卫生服务内容。,
113,社区住房改造,群众日常“吃住行”中有关“住”的话题，包括社区服务机构建设和住房保障方面。,
114,企业培训与就业,关注就业问题，提升就业率，促进企业新员工的培训体系发展。,
115,中医,,
116,中药,,
117,农民工,,
118,政策措施,,
119,残疾人,,
120,治理,,
121,住房,,
122,居民,,
123,改造,,
124,机构,,
125,供水,,
126,公交,,
127,小区,,
128,工程,,
129,培训,,
130,就业,,
131,健康,,
132,医疗,,
133,医院,,
134,患者,,
135,诊疗,,
136,国际,人民日报国际专栏，刊登国际大事要事。,
137,日本福岛核废水排放,表达对日方核废水排放的决定的谴责以及反对意见，督促日本政府承担国际责任。,
138,发展中国家人权问题,支持其他发展中国家的建设，同时提供疫苗帮助，保障人权。,
139,海洋开发及保护,对海洋进行开发与保护，依靠科技设备发展海洋经济。,
140,国际文化交流,与其他国家展开学校间的文化交流活动。,
141,疫情间的国际合作,1.推动疫情期间的世界经济复苏政策 2.对外疫苗政策,
142,废水,,
143,日本,,
144,日本政府,,
145,福岛,,
146,人权,,
147,博物馆,,
148,地区,,
149,提供,,
150,政府,,
151,移民,,
152,非洲,,
153,数字,,
154,智能,,
155,海洋,,
156,中国共产党,,
157,学校,,
158,学生,,
159,孩子,,
160,艺术,,
161,复苏,,
