topicId,period,word,weight
0,0,活动,0.02684706756423296
0,0,教育,0.026490243893956218
0,0,作风,0.021464023673419496
0,0,干部,0.01878485562215181
0,0,领导,0.013228327683353875
1,0,北京,0.016581989472476116
1,0,奥运,0.010890747148006053
1,0,奥运会,0.009939361799959506
1,0,洪水,0.007430247278105796
1,0,世界,0.006360796901173273
2,0,改革,0.02754587030424018
2,0,发展,0.020634683549026797
2,0,深化改革,0.01605490625340408
2,0,试验区,0.010971470646651351
2,0,战略,0.010756260210800384
3,0,总书记,0.012212358478450504
3,0,特色,0.012092027393632895
3,0,习近平,0.011328980028495826
3,0,群众,0.009607938565868016
3,0,脱贫,0.00926625926380132
4,0,发展,0.024919333532085638
4,0,北京,0.018533007139052475
4,0,京津冀,0.011663081866039296
4,0,中心,0.011590254522704648
4,0,企业,0.010418022103542047
0,1,活动,0.0269546134007106
0,1,教育,0.02659180200584255
0,1,作风,0.021543064968869416
0,1,干部,0.01885365297070356
0,1,领导,0.013273432024294391
1,1,北京,0.016706945424105182
1,1,奥运,0.010935609756077838
1,1,奥运会,0.00997934365176413
1,1,洪水,0.007450100856303185
1,1,世界,0.006381256269912726
2,1,改革,0.02775828279967638
2,1,发展,0.02071505868554225
2,1,深化改革,0.016137412502014264
2,1,试验区,0.011018842686878288
2,1,战略,0.010764471080833499
3,1,总书记,0.01265024902088157
3,1,特色,0.011880060429260621
3,1,习近平,0.011697262874088735
3,1,群众,0.009956323573218753
3,1,脱贫,0.009543293115943003
4,1,发展,0.02522457984862114
4,1,北京,0.01873942190081516
4,1,京津冀,0.011786162029040525
4,1,中心,0.011710051701737813
4,1,企业,0.010414536969743078
0,2,活动,0.027274950090191246
0,2,教育,0.026910329856995825
0,2,作风,0.021753108155248748
0,2,干部,0.018969647725694132
0,2,群众路线,0.013357403857953018
1,2,北京,0.01819642262843326
1,2,奥运,0.011569653596677946
1,2,奥运会,0.010501301296911307
1,2,洪水,0.006835467240445344
1,2,世界,0.006592763373071947
2,2,改革,0.02804061846433107
2,2,发展,0.020731202941364144
2,2,深化改革,0.01624347886300979
2,2,试验区,0.011074217593180455
2,2,战略,0.01076104463294265
3,2,总书记,0.01316140772701131
3,2,习近平,0.01212842480713117
3,2,特色,0.011687771624233532
3,2,群众,0.010280080168795032
3,2,脱贫,0.009859377607196282
4,2,发展,0.025451785247028114
4,2,北京,0.018950934312936086
4,2,京津冀,0.011912537451340835
4,2,中心,0.011839623668959468
4,2,企业,0.010415439788020215
0,3,活动,0.027611734276865918
0,3,教育,0.027224228097351307
0,3,作风,0.021977145001949618
0,3,干部,0.019080405792943095
0,3,群众路线,0.013450251462625608
1,3,北京,0.019774328662110895
1,3,奥运,0.01223046440203064
1,3,奥运会,0.011040698988816393
1,3,世界,0.006809560353031007
1,3,鸟巢,0.006447418330624567
2,3,改革,0.02855384765452699
2,3,发展,0.020380952960379197
2,3,深化改革,0.01647829713081231
2,3,试验区,0.011193273193755033
2,3,战略,0.010729177493984512
3,3,总书记,0.013978773497569352
3,3,习近平,0.012783064190865953
3,3,特色,0.011287398122128617
3,3,群众,0.01081944714812925
3,3,脱贫,0.010319742859151033
4,3,发展,0.024848559046619915
4,3,北京,0.01913576254238872
4,3,京津冀,0.012176295935184912
4,3,中心,0.012096143293271355
4,3,企业,0.010469429957440672
0,4,活动,0.028114971917559333
0,4,教育,0.027810754902973668
0,4,作风,0.02244217060053171
0,4,干部,0.019354555433494076
0,4,群众路线,0.013623052058549544
1,4,北京,0.019364808718553728
1,4,奥运,0.011700942055448282
1,4,奥运会,0.010609806820889217
1,4,世界,0.006661477142361227
1,4,鸟巢,0.006275738255680377
2,4,改革,0.029113898610843583
2,4,发展,0.019969944801981273
2,4,深化改革,0.016733035168056482
2,4,试验区,0.011317832129495558
2,4,战略,0.010692110885758565
3,4,总书记,0.014840586691693665
3,4,习近平,0.013480258442254959
3,4,群众,0.011404850822639954
3,4,特色,0.010865687238726003
3,4,脱贫,0.010813835384229527
4,4,发展,0.024184448910210068
4,4,北京,0.019308712682556614
4,4,京津冀,0.012458541648942532
4,4,中心,0.012363865877563968
4,4,协同,0.010545444326779453
0,5,活动,0.02853745468161205
0,5,教育,0.028513846355825
0,5,作风,0.02284931904587939
0,5,干部,0.019662502072542002
0,5,群众路线,0.013824239107279092
1,5,北京,0.01892298662252709
1,5,奥运,0.011204711766605235
1,5,奥运会,0.010200426908043129
1,5,世界,0.006510932767132744
1,5,鸟巢,0.0061151916293608645
2,5,改革,0.030033141334378906
2,5,发展,0.01958749316393965
2,5,深化改革,0.01714387092302773
2,5,试验区,0.011474455193899067
2,5,战略,0.010702626477904039
3,5,总书记,0.014812392028202814
3,5,习近平,0.013828746890199223
3,5,群众,0.011887099615511636
3,5,脱贫,0.011563926954287408
3,5,特色,0.009797076209070657
4,5,发展,0.023809794318749276
4,5,北京,0.019643356223572123
4,5,京津冀,0.01285358815847049
4,5,中心,0.01272885456245463
4,5,协同,0.010830480263779522
0,6,教育,0.02763681089771602
0,6,活动,0.026089843942627918
0,6,作风,0.021958391925758526
0,6,干部,0.020501417418541248
0,6,领导,0.014270149250665278
1,6,北京,0.01853503295822872
1,6,奥运,0.010737710708440885
1,6,奥运会,0.009814549522848832
1,6,世界,0.006363843952127537
1,6,鸟巢,0.0059594446772036945
2,6,改革,0.030960159403251804
2,6,发展,0.019327013340451234
2,6,深化改革,0.017578830696618856
2,6,试验区,0.01161356770011197
2,6,战略,0.010730797105799609
3,6,总书记,0.014345882583248013
3,6,习近平,0.013819990745901537
3,6,脱贫,0.013024008703282
3,6,群众,0.01190719616595606
3,6,特色,0.00925155109412428
4,6,发展,0.02351734323606306
4,6,北京,0.020024558420031625
4,6,京津冀,0.013278571329676515
4,6,中心,0.013077822920838153
4,6,协同,0.011131244335452204
0,7,教育,0.026769744032633276
0,7,活动,0.023751054614068654
0,7,干部,0.021443786365024513
0,7,作风,0.021046587679079593
0,7,领导,0.014865650861605227
1,7,北京,0.01817903066442923
1,7,奥运,0.010287670830483736
1,7,奥运会,0.009443277339932207
1,7,世界,0.006218337175284725
1,7,鸟巢,0.005805409557836528
2,7,改革,0.033548416251704696
2,7,发展,0.020135868620323853
2,7,深化改革,0.01923617826330727
2,7,战略,0.011196534529974118
2,7,试验区,0.010644686662651054
3,7,脱贫,0.01465945311298798
3,7,总书记,0.013867396445393448
3,7,习近平,0.01378188662086184
3,7,群众,0.011902619826381754
3,7,小康社会,0.008940120793022196
4,7,发展,0.02359898264623476
4,7,北京,0.02066789950617965
4,7,京津冀,0.013849237849163507
4,7,中心,0.01335468419942417
4,7,协同,0.0114868868815106
