"date","page","tag","title","url","content"
"2021年04月01日","15","体育","足球新赛季 踏上新起点","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_1-15.htm","随着中国足协3月29日正式对外公布2021赛季中超、中甲、中乙三级职业联赛俱乐部准入名单，新一季中国足球职业联赛的轮廓也以比较完整、清晰的形式呈现在广大球迷面前。　　毫无疑问，中国职业足球深化改革之路，正面临持续前进的挑战和机遇。如何走出一条健康、可持续的发展之路，无论是已经尘埃落定的俱乐部限投限薪、名称中性化等措施，还是要以更大勇气推进的俱乐部股权多元化工作，都令计划于4月开启的2021赛季中超更值得期待，也让新一季中国职业足球更富“开拓感”。　　推进职业足球俱乐部股权结构多元化工作，是大势所趋　　在新赛季中超联赛的准入名单中，上赛季冠军江苏苏宁队的身影已经无从寻觅，不免令人扼腕叹息；一度濒临解散的天津津门虎俱乐部获得资格继续征战中超，又让很多球迷感到欣慰。　　江苏苏宁队退出职业联赛序列，与其母公司因自身经营问题进行内部调整有直接关系，这也再度暴露出一个问题：一家企业控制球队的单一股东结构存在较大风险，一旦母公司出现调整或意外，就意味着一支职业足球队很大可能从联赛的阵容中消失。代价过于昂贵，对球队所在地的足球生态也会产生较大影响。　　毋庸置疑，中国足球联赛的职业化基础依然需要继续加固，不少俱乐部的生存状态依然需要继续改善。在去除“金元足球”的“虚火”之后，联赛更需要俱乐部加强“自身造血功能”，从而在可持续发展上有所建树。当此之时，推进职业俱乐部股权结构多元化改革，是大势所趋。　　2015年出台的《中国足球改革发展总体方案》中，早已明确：“优化俱乐部股权结构。实行政府、企业、个人多元投资，鼓励俱乐部所在地政府以足球场馆等资源投资入股，形成合理的投资来源结构，推动实现俱乐部的地域化，鼓励具备条件的俱乐部逐步实现名称的非企业化。完善俱乐部法人治理结构，加快现代企业制度建设，立足长远，系统规划，努力打造百年俱乐部。”相比单一企业股权，股权结构多元化被认为更加有利于俱乐部规避母公司的企业经营风险。唯有保持球队的长期稳定，打造中国足球“百年老店”的愿景才不会成为一句空谈。　　新赛季，多家俱乐部已积极引入多方力量，共同投入、运营　　即将开启的2021赛季中国足球三级职业联赛，将有河南嵩山龙门、山东泰山、浙江、沧州雄狮、昆山FC等多家俱乐部，以股权多元化或混合所有制的方式运营，河北足球俱乐部也在与唐山文旅进行接触，有望引进新的股东。通过引入政府、企业等多方力量，共同投入、共同运营，完善俱乐部法人治理结构、加快现代企业制度建设，职业足球俱乐部方能立足长远，为发展打下坚实基础。　　据了解，天津津门虎俱乐部也把混合所有制股权改革作为俱乐部未来的目标。本赛季，球队将以天津体育局和足协暂时托管的形式征战中超赛场，通过引进新的资金介入，将最终优化俱乐部的股权结构，实现政府、企业、个人多元投资。　　3月8日，中甲昆山FC俱乐部进行股权变更，昆山文商旅原持有的100%股权只保留35.66%，此前对球队进行运营管理的常奥体育等多家企业入股。常奥体育总裁陶婷婷说：“越来越多不同背景的企业参与到俱乐部投资运营管理中，联赛和球队都会因此增加收益，从而更加稳定。接下来，球队应该充分挖掘所在城市属性，让球队根植于城市之中。我们队的远景规划既要符合昆山体育产业的总体规划，也要与城市体育发展协同。”　　日本东京FC俱乐部计划部部长小林伸树两年前造访中国，曾向记者介绍过这家日本J联赛俱乐部当时的股权结构和运营情况：俱乐部股东竟达到372家；每年净收入约为3亿元人民币、无负债；球员支出严格控制在总支出的30%以内……对此，沧州雄狮俱乐部负责人认为：“中国职业俱乐部的股权模式不可能完全照搬国外，我们更希望探索一条符合中国国情的俱乐部股权多元化改革道路。我们的愿景是做城市足球、群众足球和绿色足球的百年俱乐部，而现在规划设计的多元化股权结构，恰好可以完美支撑我们的愿景。”　　实现良性运营，要将目光投向市场，更加关注球迷的感受　　新赛季，沧州雄狮俱乐部将由永昌集团与沧州建投集团成立的合资公司运营，股权结构将在足协政策许可时进行相应变更。同时，俱乐部还计划将部分股权进行释放，形成“核心股东+众多小股东参股”的模式。核心股东主要包括沧州本地大型企业，主导俱乐部的运营。众多小股东将包括热爱足球的沧州区县企业、产业链相关企业、球迷协会以及持续购买年票的家庭或个人。　　足球领域深化改革已到“深水区”，健康、可持续发展成为各方共识。“限薪限投”为俱乐部大幅减压，名称中性化让更多元的资本入股俱乐部成为可能。据悉，一些地方已经采取了更具前瞻性的措施介入职业足球；新赛季将负责联赛运营的职业联盟已经在版权和商务开发方面采取了更为务实的态度……　　“在调整股权结构之后，俱乐部或许在短时间内会遇到一些困难，这是由球队所处的联赛等级和市场体量决定的。但随着逐步落实各项政策，降低球队运营成本，俱乐部会慢慢进入良性循环，在市场上获得收益的能力会增强，从而达到增强‘自我造血能力’的目标。”昆山俱乐部的想法，代表了相当一部分俱乐部的感受。在这个过程中，明确政府、企业以及社会多方在俱乐部发展中所应担负的责任、彼此的位置界定，同样是深化足球改革的一道必答题。而足球作为一项社会事业和一种公共产品，政府以不同的方式积极引导、扶持和参与，也是一个地区足球事业发展不可或缺的力量。　　与此同时，中国足球人也应清醒认识到：股权多元化是落实足改方案的具体体现，既要将国际经验与具体国情相结合，又要把握足球作为社会事业、体育产业的多重属性。多元化股权结构建立以后，球队将不再成为某家企业的“广告牌”，要想更进一步，实现良性运营，要将目光投向市场，更加关注球迷的感受。盈利不是职业联赛存在的唯一目的，如何营造有城市特色的足球文化、如何服务球迷、如何呈现精彩的赛事，是值得每一位足球管理者和从业者认真思考的问题。　　中国足球，此时更需要“慢工出细活”，让足球氛围和足球文化足够浓郁，继续推进职业化进程、继续增强青训根基，职业联赛的运营者更要有不着急、不功利的心态。希望在多年以后回看2021赛季，可以将之视作中国足球职业联赛稳健前行的新起点。"
"2021年04月01日","15","体育","七项冰上赛事测试活动四月举行（走向冬奥）","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_2-15.htm","本报北京3月31日电  （记者季芳、王昊男）记者从31日的新闻发布会上获悉：北京冬奥会和冬残奥会冰上项目测试活动，即“相约北京”冬季体育系列测试活动冰上项目测试将于4月1日至10日举行。本次测试活动包括冰球、冰壶、花样滑冰、短道速滑、速度滑冰、残奥冰球、轮椅冰壶等7项冰上赛事，将在首都体育馆、五棵松体育中心、国家游泳中心、国家体育馆、国家速滑馆5个竞赛场馆举行。　　“从2月雪上和滑行项目测试活动，到4月冰上项目测试活动，无一不表明中国方面和国际奥委会如期办赛的信心和决心。”北京冬奥组委新闻宣传部部长赵卫东说。　　“举办系列测试活动的目的，就是要检验场馆设施、锻炼运行团队、摸清办赛规律、磨合工作机制、落实属地保障、测试运行指挥。”北京冬奥组委场馆管理部部长姚辉介绍，这6个方面是北京冬奥组委要实现的测试目标。测试活动将按照“简约、安全、精彩”的办赛要求，应测尽测、能测尽测，为成功举办北京冬奥会和冬残奥会奠定扎实基础。　　此次冰上测试活动的测试重点包括：在场馆设施上，将测试、检验竞赛场馆各方面的办赛条件，包括制冰、冻冰质量，网络线缆、光电计时计分等技术设备，供电、通信、无障碍设施等。在竞赛组织上，安排每日竞赛活动进程表，提供赛前训练、信息发布、成绩公告、医疗急救等服务，做好反兴奋剂检查，组织好领队会。首都体育馆要完成花样滑冰和短道速滑场地转换测试，国家体育馆要完成冰球和残奥冰球比赛的转换测试，国家游泳中心要完成冰壶和轮椅冰壶比赛的转换测试，五棵松体育中心要一天三赛，完成冰球项目的压力测试。在场馆运行上，将以每日竞赛活动进程表为基准，编制每日运行计划，按进度调度好各方面工作，同时做好应急应对准备。在指挥体系上，各场馆团队将按赛时模式执行点名和报告制度，磨合双向汇报机制。　　针对冰上项目赛事安排特点和北京赛区均为室内场馆的客观条件，还增加了一些专业性的测试内容。如注册，按赛时模式和标准，对注册工作进行综合测试，全面检验跨场馆协调联动等。如颁奖，对场馆内现场颁奖活动开展全要素、全流程测试。如体育展示，在做好双语播报、音视频放送等基本测试的基础上，在具备条件的场馆对冰面投影和特殊灯光效果开展测试。再有媒体运行与转播服务，对媒体工作间、混合采访区和新闻发布厅等关键场所进行空间和流线测试。在个别场馆，适时开展云转播等“科技冬奥”重点项目应用场景测试。还有交通，对跨场馆交通指挥调度，各类车证及通行权限管理等开展测试等。　　确保疫情防控工作万无一失是完成各项测试任务的前提。北京冬奥组委制定了疫情防控工作方案，将疫情防控工作纳入北京市疫情防控工作体系，充分发挥北京冬奥会疫情防控工作专项机构的作用，严格落实各项疫情防控措施。各场馆运行团队结合赛事实际，已“一馆一策”细化了场馆疫情防控工作方案，将对参与测试活动人员开展闭环管理和健康监测。"
"2021年04月01日","15","体育","我们的运动会","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_3-15.htm","3月30日，安徽省淮北市濉溪县南坪中心学校首届运动会上，运动员在旋风跑项目中激烈比赛。　　当日，南坪中心学校举办了首届运动会，共设3个团体展示项目、10个竞赛环节，4000余人次参加活动。本届运动会发扬“文明精神、强健体魄、静如处子、动如脱兔”的学校体育精神，展示学子们团结协作、拼搏进取、勇攀高峰的精神风貌，赛出了精气神。运动会还吸引了周边地区的中心学校教师和附近群众前来观赛。　　方  好摄（人民视觉）"
"2021年04月01日","15","体育","第十四届全国运动会全运村揭牌","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_4-15.htm","本报西安3月31日电  （记者张丹华）近日，记者从第十四届全国运动会组委会获悉：第十四届全国运动会全运村在西安国际港务区正式揭牌；比赛门票预计将于今年7月起开始销售，总销售量将不低于比赛场馆座席容量的45%；赛会已签约赞助企业15家，完成市场开发收入约6.4亿元。　　据介绍，全运村正式揭牌标志着建设施工完成，全面转向设备安装、功能实现阶段。全运村共有78栋楼，可提供3820套房间，满足1.3万人的入住需求，包括运动员村、技术官员村和媒体村。全运村的运行方案基本明确，其他赛区按照“车程30分钟以内”要求已初步确定接待酒店；食品药品安全总体方案和食源性兴奋剂检测等配套方案制定完成，“省运动员食品总仓+各市其他食材分仓”统分结合的运管模式已建立；1.5万名赛会志愿者完成招募，8万名城市志愿者正在抓紧招募。　　十四运会组委会市场开发部驻会副部长魏铁平说，票务运营方面，已制定了票务总体工作方案，目前正在制定票务方面的相关方案和预案。“各项目比赛的门票数量比例将不低于场馆容量的45%。预计今年7月，广大群众就可以通过组委会官网、手机客户端、网上售票点、场馆线下售票厅等渠道购买比赛门票。”同时，十四运会还将在每个比赛场馆都设置一定数量低票价，以实现“全运惠民”。　　在签约赞助方面，十四运会的赞助企业分为5个层级，依次为合作伙伴、赞助商、独家供应商、供应商、协作企业。截至目前，十四运会已签约15家赞助企业，加上企业捐赠，市场开发收入已达到约6.4亿元，初步达成合作意向的企业还有20多家。特许商品生产也已全面展开。线上官方特许旗舰店、首家线下官方特许商品旗舰店暨主题邮局正式开业运营，首款全运主题体育彩票即将发行。　　据介绍，十四运会53个竞委会也已组建完成并开始运转。除射击和高尔夫球两个项目外，其他项目的竞赛器材均已完成购置。十四运会测试赛总体方案已编制完成，计划从3月至6月举办53场测试赛，全面检验场馆设施和竞赛组织队伍。体育展示、颁奖组织、辅助裁判员和志愿者培训等工作同步有序推进。"
"2021年04月01日","15","体育","2022年杭州亚运会亚帆中心建成","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_5-15.htm","本报北京3月31日电  （记者李洋）经过830天的施工，位于浙江省宁波市象山县松兰山长咀头区域的2022年杭州亚运会帆船帆板项目竞赛基地——亚帆中心工程于3月30日顺利通过竣工验收，成为杭州亚运会首批建成的竞赛场馆之一。首批建成的还有沙滩排球场等41个竞赛场馆。　　据了解，亚帆中心项目总投资6.02亿元，工程陆域用地15.3公顷，海域面积47公顷，分为比赛训练中心和港池两个区域。作为杭州亚运会唯一涉及海域建设的比赛场馆，亚帆中心一半在陆地，一半在海中，有着别具一格的临海景色。在建设过程中，亚帆中心面临着比其他场馆更为复杂的状况。“两年多的施工期，我们多次成功防抗夏季台风、冬季寒潮大风等恶劣天气，圆满完成了杭州亚组委交办的建设任务。”亚帆中心项目建设象山指挥部总指挥王旭凯说。今年9月，第十四届全国运动会帆船比赛将在亚帆中心举办。"
"2021年04月01日","15","体育","器材越聪明 健身越起劲（体坛观澜）","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_6-15.htm","随着生活品质提升、体育产业发展，群众对于健身的需求更为细化、多元。科技手段的加入，会让健身器材越来越“聪明”，也会让健身生活越来越“尽兴”
 
　　微风小雨，空气清新——想去户外活动活动？看似不可能的想法，其实很容易实现。在沈阳，多座公园近来添置了智能健身器材，还安装了顶棚，为前来锻炼的市民遮阳挡雨、提供照明，让户外运动既不会被糟糕天气“打扰”，也不会因为夜幕降临而“打烊”。
　　智能健身器材的作用可不止于此，不少地方投入使用后，健身锻炼变得更加智能化了：附加功能更丰富，运动时可以欣赏音乐、给手机充电；健身服务更细致，锻炼者通过手机扫码，就能获取自己的运动数据，掌握自己的锻炼情况；科学健身更便捷，可视化的教学指导，让初学者也可以快速“解锁”新技能。智能健身器材，给群众的锻炼增添了新鲜感和获得感，会让更多人爱上体育运动、学会科学健身。
　　同样变得更智能化的，还有不少体育场馆。在浙江新昌，想去体育中心打场球，也比过去方便多了：打开手机，就能预订场地、完成支付，根据场馆定位导航前往；室外场地无人值守，根据预订信息就能自助出入；智能照明系统让球场灯光随着人流开启关闭，用电更为环保节约。更智慧的运营手段，提升了场馆使用的效率，让健身群众享受到更便捷的服务。
　　随着生活品质提升、体育产业发展，群众对于健身的需求更为细化、多元。在国家体育总局日前印发的《2021年群众体育工作要点》中，“建设一批智慧健身中心、配置智能室外健身器材的体育公园”的提法，就为更好满足健身群众的不同需求指明了一个方向：科技手段的加入，会让健身器材越来越“聪明”，也会让健身生活越来越“尽兴”。智能化探索不停步，相信未来会有更“聪明”、更“时尚”的设施、场所不断出现在生活中，让人练得科学、玩得起劲。"
"2021年04月02日","15","体育","每场比赛都要拼尽全力","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_1-15.htm","核心阅读　　本赛季中职篮联赛常规赛还有5轮就将结束，6支球队已确定打进季后赛，另外6个席位留待8支球队争夺。接下来，球员、教练需全力以赴，珍惜每一场比赛、每一个回合，才能让球队在本赛季剩余征程中走得更远，赢得更多希望。　　　　4月1日，2020—2021赛季中职篮联赛常规赛再赛4场。山东队以124∶98大胜同曦队，浙江队以85∶80击败上海队，广州队以93∶110负于新疆队，北京队以99∶90战胜福建队。在当日的比赛中，新疆队球员周琦拿到37分26篮板的大号“两双”数据，也追平了个人的中职篮生涯单场篮板纪录。　　进入4月，本赛季中职篮联赛常规赛也进入收官阶段，目前56轮常规赛还剩最后5轮，广东、辽宁、浙江、新疆、山东、广厦6支球队已确定打进季后赛。暂列中职篮积分榜第七至第十四位的深圳、青岛、北京、四川、吉林、北控、上海、广州等8支球队仍在为争夺剩余的6张季后赛“门票”而努力。　　三队年轻人表现出色　　经历了上一轮与广东队的激烈较量，浙江队在第五十一轮对阵上海队的比赛中有4名主要球员缺席比赛，但凭借着年轻队员的优异表现，浙江队还是获得了比赛胜利。这场比赛，浙江队全队共有6名球员得分上双，其中，后卫程帅澎打出了16分6篮板7助攻的全面表现。　　浙江队本赛季表现亮眼，涌现出一批敢打敢拼的年轻球员，增强了球队板凳深度，成为打破联赛传统实力格局的新生力量。“这场比赛很不容易，困难的时候需要有球员挺身而出，大家都做得非常好。”浙江队主教练刘维伟说。上海队主教练斯帕夏表示：“虽然浙江队有几名主力球员缺席，但他们找到了解决问题的方案，最终获胜，这值得我们学习。”　　本赛季常规赛赛期在中职篮历史上也属最长。面对高强度、多场次比赛，各队都有自己的应对之法，联赛头名广东队“五上五下”的用人方式独树一帜。在主力得分手布鲁克斯意外受伤、不得不放弃本赛季剩余比赛的情况下，广东队主教练杜锋坦承，这给教练组的工作增加了难度。其实，这是布鲁克斯连续第二个赛季无法随队参加季后赛，上赛季广东队在布鲁克斯缺阵的情况下夺得总冠军，队中徐杰、胡明轩等年轻球员发挥了重要作用。　　在郭艾伦缺席的比赛中，辽宁队新秀张镇麟连续3场场均超过20分的表现征服了对手。新疆队主教练阿的江说：“张镇麟在比赛中表现出年轻人的自信，具有高水平球员的潜质，很高兴在联赛中看到这样的年轻球员。”　　两名教练员成绩斐然　　常规赛战至第五十一轮，广厦队提前5轮取得了季后赛资格，这对于中途换帅的球队来说很不容易，38岁的主教练王博功不可没。自去年12月接任主教练以来，王博带领广厦队取得了19胜10负的战绩，将球队常规赛的排名从第十位提升为第六位。　　在王博的指挥下，得分后卫赵岩昊上场时间大幅增加，平均得分从上赛季的12.8分增加到本赛季的17.4分；本赛季加盟广厦队的组织后卫冯欣也担当了重任，场均贡献9.9分和5.2次助攻。“最重要的是每个人要有一颗想打球的心。”王博说。　　正式执教深圳队首个赛季，37岁的邱彪也交出了一份不错的成绩单。上赛季深圳队无缘季后赛，而且队中于德豪和李慕豪两名主力也离开了球队。在加时赛击败四川队之后，深圳队以26胜21负的战绩排位第七。赛后邱彪激动地说：“这是我担任教练以来，经历的最精彩、最艰难的一场比赛，非常高兴我们取得胜利，我们特别需要这场胜利。”按照赛程，深圳队只要战胜上海队，便可确保季后赛席位。　　“一场定胜负”赛制将启用　　本赛季季后赛赛制与上赛季相同，常规赛前四名球队直接进入八强，第五至十二名球队参加“12进8”淘汰赛，争夺另外4个八强席位。“12进8”和“8进4”的比赛采用“一场定胜负”赛制，半决赛和总决赛均为三战两胜制。　　但是对于四川、吉林、北控、上海、广州等球队来说，现在已经进入了季后赛“模式”——一场比赛的胜负会引起排名不小的变化。以深圳队以114∶106击败四川队的比赛为例：如果取胜，四川队将排名第八位，而事实却是一场失利后跌落到第十位，与第十一位的吉林队胜率相同，只比第十二位北控队多赢两场球。　　事实上，尽管排名有先后，球队之间胜场差却十分接近，截至常规赛第五十一轮，排名第五位的山东队只比排名第十二位的北控队多赢了6场球。据中职篮联盟运营部负责人孟晓琦介绍，常规赛前三个阶段423场比赛中，分差在10分以内的比赛是47.3%，这个数字比上个赛季略有提高。　　篮球场上，争胜必须全力以赴。现在，展现球员意志品质的时候到了。在拿到季后赛资格后，王博说：“现在还不到放松的时候，要珍惜每一个球，通过自己的表现赢得对手的尊重。”尽管早已稳居四强席位，浙江队球员吴前说：“每场比赛都要拼尽全力，是每位球员的本能。”"
"2021年04月02日","15","体育","青训画笔勾勒绿茵未来（体坛观澜）","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_2-15.htm","“功成不必在我，功成必定有我”。将这样的信念灌注到为中国足球奋斗的每个人、每一天，时光定然不会辜负所有的付出　　　　不止一位足球教练有这样的感受：很多本应在青少年时期养成的技术动作、战术意识等基本功，到了成年队却需要“回炉再造”。如果将这些基本功比作一个个“零件”，成年队教练的主要工作本应是将这些已经成型的“零件”组合好，在场上发挥出最大效能。但在现实中，“零件”规格却参差不齐，难以咬合到一起。　　这种现象，正是中国足球在青少年球员培养阶段不容忽视的问题。一名小球员在成长过程中，自然要经历不同的教练。如果“一个师傅一个样”，对基本功都有各自不同的理解和训练，到了成年队，难免让教练皱眉头。而此时的“回炉”，效果已经大打折扣了。　　由中国足协组织编写的《中国足球协会青少年训练大纲》（以下简称《大纲》）不久前推出，希望扭转的正是这一局面。大纲从5岁儿童开始，一直到21岁球员，结合世界足球运动发展趋势和我国青少年发展实际情况，特别强调了“五环模型”——将技术、战术、身体、心智和社交作为一名球员成长的5个必要环节，促其协调发展。　　从“五环模型”不难看出，青少年接触足球，不仅是身体能力的训练，更是心智品行的锤炼。《大纲》不仅对孩子的足球进阶之路给出系统方案，也对家庭、学校、教练员、足球协会和社交媒体在其中所应扮演的角色给出建议。比如家长，在参加孩子的足球活动时要认识到：孩子踢球是为了快乐，允许孩子出现错误，永远不要因为失误而批评孩子……而教练员如何赞扬球员，也给出了具体而微的指导办法，比如“赞扬的不是结果而是过程”“赞扬技术也要赞扬态度”等。　　当然，青少年球员的培养需要对基本动作和意识进行系统性的培养，千百次的打磨。但共性的规律之外，《大纲》也提到，中国足球尊重和认可职业俱乐部或者培训机构自己的青训传统，并支持和鼓励各职业俱乐部或者培训机构能够阐明自己的青训理念，有效融入日常训练、比赛之中，为中国足球培养更多有突出特点的球员，带来更丰富的战术变化。　　一本《大纲》不会解决所有问题，但正如《大纲》的扉页上所写，“功成不必在我，功成必定有我”。将这样的信念灌注到为中国足球奋斗的每个人、每一天，时光定然不会辜负所有的付出。"
"2021年04月02日","15","体育","测试活动 有序开启（走向冬奥）","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_3-15.htm","在北京奥林匹克公园的国家体育馆内，一辆“小汽车”穿梭于一楼楼道，来来回回。这是一台外形酷似汽车的智能物流机器人，名叫“烛光”，专门负责“驮着”文件、资料等，送到场馆内有需要的房间。　　4月1日，北京冬奥会和冬残奥会冰上项目测试活动，即“相约北京”冬季体育系列测试活动冰上项目测试正式开始，“烛光”马不停蹄地忙碌了起来。场馆工作人员介绍，测试活动期间，“烛光”要负责把比赛成绩、赛程等“新鲜出炉”的资料第一时间送往新闻发布厅、记者工作间等区域。　　“本次测试是对所有冰上场馆进行的一系列检验，包括设备设施、冰面以及所有改造场馆、新建场馆能否满足冬奥会办赛要求。”北京冬奥组委人力资源部部长闫成说。　　1日上午，参与测试活动的部分运动员乘坐大巴车来到五棵松体育中心进行训练，他们将要面对的是一块全新的冰面。“这次测试活动要求冰面厚度为3厘米”，五棵松体育中心助理制冰师赵更凡说，不要小看这薄薄的3厘米，其中包含的冰层有5层，包括降温、画线、铺设标识等8道工序，本次制冰的完整周期需要6—7天。“除国家游泳中心外，所有冰上场馆都是第一次举办赛事，要检验设施设备是否完备，且满足赛事需求。”闫成说。　　除了场馆之外，赛事运行同样是本次测试活动考察的重点环节。“测试活动对场馆团队也是难得的实战检验。冰上场馆运行团队组建已有数月，人员构成主要包括冬奥组委各业务领域代表，属地党委政府和临时借调人员，还有各合作企业、赞助商成员，志愿者以及所在场馆属地的外围保障人员。”闫成说。1日，已经转为“冰立方”的国家游泳中心举行了混合双人冰壶项目的测试活动。来自北京大学、北京工商大学等高校的约208名大学生志愿者到场服务，为测试活动有序运行提供了保障。　　肩负国家速滑馆和国家游泳中心建设改造任务的北京国资公司，已经将两个场馆约70%的员工充实到场馆运行团队，其中许多人都参与过2008年北京奥运会的服务保障工作，如今又加入冬奥会场馆运行团队，成为服务保障“相约北京”测试活动的中坚力量。“冬奥筹办进入倒计时实战状态，要以本次测试活动为契机，高质量完成场馆设施建设与运行、高水平提供赛时服务保障、高标准做好体育展示和颁奖仪式服务，为举办一届精彩、非凡、卓越的冬奥盛会做贡献。”北京国资公司董事长、党委书记岳鹏说。"
"2021年04月02日","15","体育","测试活动 有序开启（走向冬奥）","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_3-15.htm","在北京奥林匹克公园的国家体育馆内，一辆“小汽车”穿梭于一楼楼道，来来回回。这是一台外形酷似汽车的智能物流机器人，名叫“烛光”，专门负责“驮着”文件、资料等，送到场馆内有需要的房间。　　4月1日，北京冬奥会和冬残奥会冰上项目测试活动，即“相约北京”冬季体育系列测试活动冰上项目测试正式开始，“烛光”马不停蹄地忙碌了起来。场馆工作人员介绍，测试活动期间，“烛光”要负责把比赛成绩、赛程等“新鲜出炉”的资料第一时间送往新闻发布厅、记者工作间等区域。　　“本次测试是对所有冰上场馆进行的一系列检验，包括设备设施、冰面以及所有改造场馆、新建场馆能否满足冬奥会办赛要求。”北京冬奥组委人力资源部部长闫成说。　　1日上午，参与测试活动的部分运动员乘坐大巴车来到五棵松体育中心进行训练，他们将要面对的是一块全新的冰面。“这次测试活动要求冰面厚度为3厘米”，五棵松体育中心助理制冰师赵更凡说，不要小看这薄薄的3厘米，其中包含的冰层有5层，包括降温、画线、铺设标识等8道工序，本次制冰的完整周期需要6—7天。“除国家游泳中心外，所有冰上场馆都是第一次举办赛事，要检验设施设备是否完备，且满足赛事需求。”闫成说。　　除了场馆之外，赛事运行同样是本次测试活动考察的重点环节。“测试活动对场馆团队也是难得的实战检验。冰上场馆运行团队组建已有数月，人员构成主要包括冬奥组委各业务领域代表，属地党委政府和临时借调人员，还有各合作企业、赞助商成员，志愿者以及所在场馆属地的外围保障人员。”闫成说。1日，已经转为“冰立方”的国家游泳中心举行了混合双人冰壶项目的测试活动。来自北京大学、北京工商大学等高校的约208名大学生志愿者到场服务，为测试活动有序运行提供了保障。　　肩负国家速滑馆和国家游泳中心建设改造任务的北京国资公司，已经将两个场馆约70%的员工充实到场馆运行团队，其中许多人都参与过2008年北京奥运会的服务保障工作，如今又加入冬奥会场馆运行团队，成为服务保障“相约北京”测试活动的中坚力量。“冬奥筹办进入倒计时实战状态，要以本次测试活动为契机，高质量完成场馆设施建设与运行、高水平提供赛时服务保障、高标准做好体育展示和颁奖仪式服务，为举办一届精彩、非凡、卓越的冬奥盛会做贡献。”北京国资公司董事长、党委书记岳鹏说。"
