"date","page","tag","title","url","content"
"2021年04月01日","12","文化","高质量教育体系这样建（权威发布）","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_1-12.htm","“十四五”规划纲要提出，建设高质量教育体系。“我国将构建优质均衡的基本公共教育服务体系、构建支撑技能社会建设的职业技术教育体系、构建开放多元的高等教育体系、完善服务全民终身学习的教育体系。”3月31日的国新办新闻发布会上，教育部副部长宋德民介绍。　　“十四五”时期，我国劳动年龄人口平均受教育年限将提高到11.3年，如何实现这一目标？同中西部开发开放格局相匹配的高等教育体系，如何推动形成？规范校外培训、减轻学生课外培训负担有哪些新举措？　　提升全民受教育程度，推进乡村教育振兴　　劳动年龄人口平均受教育年限，代表着一个国家的整体国民素质。2020年，我国劳动年龄人口平均受教育年限为10.8年，“十四五”末期，这一数据将提高到11.3年。这意味着，到2025年，我国劳动年龄人口平均受教育水平将达到高二年级以上的教育程度。　　“我们将进一步提高高中阶段教育和高等教育的普及水平，到2025年，高等教育毛入学率力争提升到60%。新增劳动力平均受教育年限进一步提高，劳动年龄人口平均受教育年限也会有大幅提升。”教育部发展规划司司长刘昌亚介绍，还将不断提高存量劳动者的人力资源开发水平，不断提高质量、优化结构，让人力资源开发水平更加适应经济社会发展需求。　　如今，我国脱贫攻坚战取得全面胜利，20万建档立卡辍学学生实现“动态清零”，514万建档立卡贫困学生接受高等教育。教育如何在巩固拓展脱贫攻坚成果的基础上，实现与乡村振兴的有效衔接？　　“我们要加快推进乡村教育振兴，加强乡村教师队伍建设，提高义务教育质量，提升农村学前教育毛入园率。振兴农村教育，职业教育非常重要，让农村孩子有一技之长，是巩固脱贫攻坚成果的重要举措。”刘昌亚介绍，高校也将携手打造乡村振兴示范点，进一步发展产业、健康、旅游等帮扶模式。　　中西部高等教育，是中西部发展的内生力量。2020年9月，中央深改委审议通过了《关于新时代振兴中西部高等教育的若干意见》。“我们要以西安、兰州为战略支点，发挥高水平大学的龙头作用，带动引领西北高等教育的整体发展。要以重庆、成都为战略支点，发挥高水平大学和高等教育集群的集聚溢出效应，打造西南地区高等教育对外开放的桥头堡。”教育部高等教育司司长吴岩说。　　深化科研评价改革，建设高素质教师队伍　　高校是基础研究的主力军和创新源头，创新人才培养和汇聚的主阵地在高校。　　“‘十四五’时期，我们将提升高校科技创新水平，构建高校科技创新体系，全面提升高校原始创新能力，推动产学研用深度融合，助力国家科技自立自强。”宋德民介绍，我国将深入推进“高等学校基础研究珠峰计划”，完善前沿科学中心布局建设，组织高水平研究团队开展前瞻性基础研究。同时，着力加强关键核心技术攻关和供给能力，建设一批集成攻关大平台，围绕国家重大战略需求和关键领域组织集中攻关。　　“我们还要着力深化科研评价改革，深入贯彻落实破除‘SCI至上’和提升专利质量等文件精神，建立以创新能力、质量、实效、贡献为导向的评价体系，全面增强科技创新支撑高质量教育体系建设的能力。”宋德民说。　　最近，教育部印发了《职业教育专业目录（2021年）》。“十四五”时期，新版目录如何对接“十四五”高质量发展？　　“这次集中修订紧盯产业链条、紧盯市场信号、紧盯技术前沿、紧盯民生需求，设置了19个专业大类、97个专业类、1349个专业，全面覆盖了国际通行的41个工业门类以及我国最新发布的新职业。”教育部职业教育与成人教育司司长陈子季介绍。　　“有高质量的教师，才会有高质量的教育。”建设高素质专业化教师队伍，建立高水平现代教师教育体系，是“十四五”规划的重要内容。　　“‘十四五’时期，将建立以师范院校为主体、高水平综合大学参与、优质中小学幼儿园为实践基地，开放、协同、联动的教师教育体系。”宋德民介绍，我国将实施新时代“强师计划”，加大对师范院校的支持力度，进一步发挥教育部直属师范大学师范生公费教育示范引领作用，并启动“国家优秀农村教师定向培养计划”，为中西部欠发达地区定向培养高素质农村教师。　　规范校外培训，严禁招生入学与社会竞赛挂钩　　社会关注的校外培训机构乱象，应当如何治理？　　“这些问题的存在，既加重了学生的学业负担，也加重了家长的经济负担和精力负担。今年教育部把这项工作列入重点工作任务，将会同有关部门按照系统治理、标本兼治的工作思路，采取更加有效的措施，进一步加大校外培训机构治理力度。”教育部基础教育司司长吕玉刚表示，对校外培训机构，将坚持依法治理、综合施策，严格落实国家有关法律法规的规定要求，从严审批培训机构，强化培训内容监管，创新收费管理方式，规范培训行为，严肃查处违法违规培训行为；对义务教育学校，要进一步提高课堂教学质量，规范作业管理，提高作业设计水平，严格控制书面作业的总量，课后服务时间要和当地的正常下班时间相衔接，进一步丰富课后服务内容、提高课后服务质量。　　“奥赛”曾一度火热，近年来有所降温，但最近，改头换面的“奥赛”在有的地方卷土重来。针对这种现象，吕玉刚强调：“对没有经过审核通过的竞赛活动加大查处力度，发现一起查处一起，严禁中小学校、社会培训机构组织中小学生参加违规竞赛活动，严禁中小学招生入学与任何形式的社会竞赛挂钩，坚决斩断这种利益链。”　　规范社会竞赛项目的管理，是减轻中小学生过重学业负担的一项重要举措。近年来，教育部严格控制竞赛项目数量，全面取消义务教育阶段的学科类竞赛项目，现有的5项奥赛只面向高中阶段的学生。“我们要继续深入落实义务教育免试就近入学规定和‘公民同招’政策，严格按照竞赛项目管理规范和举办方的承诺，加强竞赛项目的全过程管理，保障竞赛项目依法依规举行。”吕玉刚说。　　近年来，一些地方“超级中学”跨区域招生，“振兴县中”成为热议话题。“我国普通高中1.42万所，其中县域高中0.72万所，在校生规模超过了一半，达到了1468.4万人。一个县的高中发展不好，这个县的基础教育很难发展好，所以必须建设好。”吕玉刚说。　　吕玉刚表示，下一步将结合实施乡村振兴战略，专门研究制定县域普通高中发展提升行动计划，从优化结构布局、改善办学条件、加强教师队伍建设、完善政策保障等方面发力，全面提升县中的办学水平。　　“我们要进一步严肃招生工作纪律，坚决制止违规跨区域掐尖招生行为，促进普通高中教育持续、健康、协调发展。”吕玉刚强调。"
"2021年04月01日","12","文化","武汉公布技术攻关“揭榜挂帅”项目","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_2-12.htm","本报武汉3月31日电  （记者田豆豆、强郁文）在近日召开的武汉市科技创新大会上，《首批武汉市科技重大专项“卡脖子”技术攻关“揭榜挂帅”项目榜单》公布。此次公布的5个“卡脖子”项目分别涉及光通信、集成电路、光电子、生命科学、基因治疗等产业领域。由市科技研发资金提供1.35亿元资助，单个最高资助3000万元，每个项目揭榜单位配套经费与市科技研发资金比例将不低于2∶1。　　针对“揭榜挂帅”项目榜单，武汉将探索推行企业出题出资、政府配套激励等方式，邀约“全球大脑”，共谋武汉创新发展的智慧方案。有实力的专家和科研团队，可组成以武汉企业牵头的产学研创新联合体前来揭榜。　　据了解，为着力攻克制约武汉市重点产业发展的“卡脖子”技术，自2021年起，武汉市科技局启动实施武汉市科技重大专项。此次公布的首批“揭榜挂帅”项目聚焦武汉市的产业重大需求，均是产业界急需解决的重大攻关项目。武汉市科技局局长盛继亮介绍，“卡脖子”技术攻关成效如何，关键看是否解决了产业界提出的问题，因此“揭榜挂帅”项目的攻关成效，将由企业来考核。"
"2021年04月01日","12","文化","北京推出清明节红色主题游线路","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_3-12.htm","本报北京3月31日电  （记者潘俊强）在中国传统节日清明节来临之际，3月31日，北京市文化和旅游局以“缅怀·踏青”为主题，推出26条“漫步北京清明节红色旅游主题游”线路，让市民和游客在这个小长假里祭奠先人、缅怀先烈，到大自然中踏青郊游。　　作为全国文化中心，首都北京的红色文化有其特殊的地位和意义，红色文化内涵深邃，红色旅游资源丰富，留下了大量红色地标、红色遗址遗迹、可移动红色文物，以及承载这些红色文化的纪念馆、陵园、旅游景区。　　此次北京市文旅局分别推出了北京城区、东部、西部、南部、北部、东北部红色旅游主题游线路。比如，在重走五四爱国之旅线路中，包括位于五四大街的五四运动起点北京大学红楼、东堂子胡同北大校长蔡元培故居、北总布胡同爱国学生火烧赵家楼的遗址等历史遗迹，可以重温100多年前在北京城里发生的爱国主义运动。烽火卢沟抗战之旅线路有800年历史的卢沟桥，古老的石板路，见证了卢沟桥的历史沧桑；缠绵的晓月湖，展示着卢沟桥的今朝风采；漫步宛平城，参观中国人民抗日战争纪念馆，回顾峥嵘岁月，聆听爱国故事，铭记红色历史，弘扬伟大的抗战精神。"
"2021年04月01日","12","文化","浙江余姚保护挖掘河姆渡文化","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_4-12.htm","本报杭州3月31日电  （顾春、孙志鹏）从大遗址群的角度规划河姆渡国家考古遗址公园，积极推进井头山遗址二期考古工作，升格建设河姆渡博物院，筹建浙江宁波史前文化考古研究中心……最近，宁波余姚市推出多项举措，擦亮河姆渡文化金名片，努力把河姆渡遗址群打造成宁波重要城市文化标识。　　河姆渡遗址群是宁波历史文化遗产中耀眼的瑰宝。以河姆渡遗址、田螺山遗址和鲻山遗址3个同属河姆渡文化的全国重点文物保护单位为核心，2018年底，余姚市启动河姆渡国家考古遗址公园申报工作。2020年，余姚井头山遗址最新考古成果发布，余姚市在申报中又补充纳入井头山遗址，从大遗址群的角度同步规划河姆渡国家考古遗址公园。今年初，井头山遗址成为余姚市级文物保护单位，保护范围和建设控制地带同时公布。井头山遗址二期发掘已获国家文物局批准，将在遗址西侧区域扩大发掘。　　目前，河姆渡考古遗址公园考古勘探项目、河姆渡生态园生物多样性调查项目已完成，相关报告已通过评审验收。河姆渡国家考古遗址公园考古工作计划完成首轮专家讨论，正积极落实建设可行性研究和项目建设计划书等编制。"
"2021年04月01日","12","文化","画绢复平 山水重青","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_5-12.htm","纵446厘米、横282厘米，《蒋懋德画山水图贴落》尺幅巨大，是清代宫廷画师为符望阁内檐装饰所绘的巨幅贴落（直接裱糊于宫廷的墙壁或隔扇上，可随时令更换，因此称贴落），绢本青绿设色。修复前，它曾经长期绷铺于古建原状环境中，病害情况十分严重。如今，经过修复，《蒋懋德画山水图贴落》焕发青春，山水灵动，古色古香。这是故宫博物院首次将尺幅如此巨大、病害情况如此严重的一件书画类文物，通过传统手艺的支撑和科技手段的助力进行修复。　　故宫博物院文保科技部书画修复组组长杨泽华说，送修前，画作绢质糟朽、缺失严重，加之其经纵向卷折数叠后横向压折，出现了断裂、空鼓、起翘、缺失等病害。巨大的尺幅给修复带来了挑战，比如修复过程有一项是揭画心，需要修复师采用揭、搓、揉等方式，去除画绢背后已经失去承托作用的托心、背衬纸，揭心过程需要一丝不苟，绝不能伤及绢丝，因此被业内形容为“如履薄冰”。面对这一大尺幅的作品，揭心更需仔细。为此，修复组定制了玻璃工作台，特别制作了一个木桥。修复师可以蹲在木桥上，对巨幅画作进行修复。　　拼对与回贴、清洗展平、加固绢丝、翻身揭背、揭画心、补缀画心绢丝缺失处、选配背衬、再次翻身、绷平与全色……每一个修复步骤，都考验着文物修复者的手艺和精力。而采用科技手段，能帮助探查文物情况，采用更为精准细致的修复方式。杨泽华说，对于大尺幅贴落画的修复，修复前需借助科技手段从外部环境及自身材质的稳定程度两个方面搜集数据，充分了解文物的病害机理。在修复中，也要全程跟进检测数据进行对比试验，加强科技检测与临床修复的契合度，进一步提高书画修复工作的科学性与严谨性。　　故宫博物院文保科技部副主任雷勇介绍，修复《蒋懋德画山水图贴落》，采用了透光摄影、多光谱成像、X射线荧光面扫描成像等3种非侵入的面分布信息提取方法。透光摄影是利用光纤，从纸质、纺织品等能被可见光穿透的文物背面进行布光，并在文物正面进行拍摄，从而采集到文物内部更深层的状态和病害信息。多光谱成像则是一种利用各种光线波长不同的属性，获取目标光谱特征和图像信息的无损分析技术。X射线荧光面扫描成像技术，能更好地分析各类颜色所使用的材料及技法等信息。　　犹如现代医疗手段对病人的检测，技术手段能对文物进行科学检测。运用科技手段能了解颜料成分、笔墨浓淡等信息。故宫博物院副院长赵国英表示，这次修复工作是“文化+科技”文保理念的具体体现，也是现代文物保护和展示工作的一次范例。　　修复后的《蒋懋德画山水图贴落》将在5月18日国际博物馆日，亮相首都博物馆“万年永宝——中国馆藏文物保护成果展”。此外，故宫博物院资料信息部运用数字技术，对符望阁和《蒋懋德画山水图贴落》进行数字“活化”，让更多人了解文物和背后的修复故事。"
"2021年04月01日","12","文化","我国成功发射高分十二号02星","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_6-12.htm","本报北京3月31日电  （记者余建斌）3月31日6时45分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将高分十二号02星发射升空，卫星顺利进入预定轨道。　　高分十二号02星主要用于国土普查、城市规划、土地确权、路网设计、农作物估产和防灾减灾等领域。此次任务是长征系列运载火箭的第364次航天飞行。"
"2021年04月01日","12","文化","凝众志 聚合力 护长城","http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_7-12.htm","本报石家庄3月31日电  （记者史自强）3月31日，河北省十三届人大常委会第二十二次会议全票通过《河北省长城保护条例》（以下简称《条例》），将于6月1日起施行。《条例》的出台将为加强长城保护利用、阐释长城价值、弘扬长城精神，推进长城国家文化公园建设，着力解决长城文化价值发掘和保护工作中存在的短板和弱项提供法治支撑。　　《条例》明晰了保护责任，明确政府是长城保护的第一责任人。规定长城所在地县级以上人民政府的主体责任和文物部门的监管责任，毗邻的政府部门要落实分段管理责任，做好管理衔接，确保长城点段巡查、看护、管理全覆盖。　　《条例》明确社会共治，建立一支稳定的长城保护员队伍。完善了长城保护员聘用程序、责任和经费保障；鼓励动员社会力量进行认领保护，鼓励社会组织和志愿者开展长城公益活动，实现全社会共治善治的良好局面；充分发挥基层群众性自治组织的优势。规定长城沿线的村（居）委会要宣传普及长城保护知识，组织动员村（居）民开展长城保护活动。　　本报太原3月31日电  （记者郑洋洋）记者从山西省政府新闻发布会获悉：《山西省长城保护办法》（以下简称《办法》）将于4月1日起施行。山西省长城资源丰富，点多线长，且大多数位于较为偏远的旷野区域，保护难度大，《办法》的施行为长城保护提供了依据与指导。　　据介绍，山西省经国家文物局认定的历代长城共计4266个点、段，总长1401.23千米。　　《办法》规定，长城所在地县级人民政府应当与长城所在地乡（镇）人民政府签订长城保护责任书，进一步明确了保护管理主体责任。规定了县级以上人民政府文物主管部门应设置长城违法行为举报平台，为加强社会力量监督拓展了手段。明确省文物局要制定长城日常养护规则，指导和规范长城保护机构做好长城日常养护和抢险加固工作。明确对长城进行利用的，要编制展示利用方案并报省文物局备案。规定了任何组织或个人不得非法占有长城建筑构件。"
"2021年04月02日","12","文化","城乡学校，手拉手一起走（解码·教育均衡发展）","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_1-12.htm","核心阅读　　义务教育“乡村弱”问题怎么破解？在浙江，城镇优质学校与乡村薄弱学校结成教育共同体，通过融合型、共建型、协作型等几种模式，将城镇优质教育资源下沉到乡村，激发乡村学校内生活力。　　这不是单向的“输血”，农村学校的特色优势也能反哺城镇学校，借助新技术手段，实现双向融合、共享共用。　　　　下课铃响，浙江省瑞安市新纪元实验学校芳庄校区热闹起来。修葺一新的操场上，活跃着孩子们运动的身影；教室走廊上，学生们三五成群愉快地交谈。　　“这样的画面，在两年前很难想象。”这所瑞安西部山区乡村学校的党支部书记陈旭剑感叹道。几年前，芳庄乡每学年户籍适龄儿童有200多人，可芳庄乡学校的生源却一再流失，2018年招收的一年级新生只有3人。办学效率低、教育成本高，学校难有办学活力。　　义务教育“乡村弱”问题怎么破解？经过调研论证，芳庄乡决定把山区乡村学校办学交给优质学校托管。从2019学年开始，芳庄乡学校成为瑞安市新纪元实验学校芳庄校区。不到一个学期，办学质量提升显著，当年秋季招生就回升到90人。到了第二年，该校区招生人数已变成263人。　　城乡学校“手拉手”结成义务教育共同体后，这样喜人的变化，正在浙江各地乡村中小学里发生。去年年底，浙江省教育厅等四部门共同发布《关于新时代城乡义务教育共同体建设的指导意见》，浙江成为全国首个全省域开展城乡教育共同体（简称“教共体”）建设的省份。　　强校托管弱校，办学同步化　　在群山围绕的衢州市柯城区七里乡大头村，鹿鸣小学七里校区是一所“小而美”的乡村学校。校园里立起的LED大屏上，正滚动播放“在校一日生活圈”的画面；依托“数字化校园”建起的全科教室里，七里校区的学生可以和本部同学“云共享”同步课堂；劳动实践基地“淘源”菜地里，蔬菜旁有二维码，学生还能体验网上直播卖菜。　　作为柯城区探索“一校两区”模式的发源地，被鹿鸣小学托管14年来，七里校区的变化巨大。2006年城区“强校”鹿鸣小学和偏远山区的七里小学挂钩合并，开启了试点改革。　　柯城区教育局副局长刘秀芬说，“一校两区”或“一校多区”模式，是由一所城镇学校与一两所乡镇学校重组，城区“强校”来托管农村“弱校”，开展同步化办学，校区间不仅能无障碍调配人、财、物资源，而且实行一体化考核评价机制。如今，该区已有9个这样的融合型“教共体”。　　“教共体”内的城乡学校，不是简单的送教支教或结对帮扶，通过融合型、共建型、协作型等几种建设模式，让城镇优质教育资源下沉到乡村，激发乡村学校内生活力。　　“如何破解优质教育城乡不均衡问题，让乡村孩子‘读好书’，已经成为教育发展到优质均衡新阶段面临的新问题。”浙江省教育厅基础教育处副处长朱国清说，离开乡村教育优质均衡，就不是真正的教育现代化。　　推进“教共体”建设，正是要推动城乡学校共同发展、优质均衡，促进乡村学校质量提升与特色化发展。截至去年年底，浙江全省所有1025所乡村小学、271所乡村初中已实现“教共体”受援全覆盖。在此基础上，浙江提出，全省域推行“教共体”建设。今年，新增城乡义务教育共同体结对学校1500所。　　教师双向流动，发展可持续　　“教共体”以强带弱、共同发展，关键依靠什么？只有教师们愿意去、留得住、教得好，才能真正推动乡村教育可持续、高质量发展。　　“现在芳庄校区的老师几乎都是新纪元实验学校派来的。”陈旭剑说，结成“教共体”之前，该校在编教师17人，50岁以上的就有11人。年轻教师流动过来后，新纪元实验学校的优秀办学经验也流动到芳庄校区，在课程教学、德育活动、师资培养等方面都有不少改革创新。　　为了让城乡教师双向流动起来，浙江省在《关于新时代城乡义务教育共同体建设的指导意见》中，专门对推动师资流动、优化激励机制等提出新办法。比如，今后浙江各地可以将精简收回和挖潜调剂出来的各类事业编制资源，统筹用于补充中小学教职工编制，并向“教共体”适当倾斜。　　中小学教师实行“县管校聘”管理，也是一项突破。各地教育行政部门将加强县域内“教共体”内部师资的统筹管理、调配和交流。优先满足“教共体”内教师的双向交流和城乡有序调动，优化师资结构。　　在融合型“教共体”内，教师将实行无障碍调配；共建型“教共体”的核心校要选派骨干教师，到每一所成员校任教；协作型“教共体”则根据学科要求，指派一定数量教师到乡村学校支教。此外，通过建立“名师工作室”，指导乡村学校中青年教师成长；通过乡村教师到共同体学校轮训、常态化开展教师网络研修等方式，提高乡村教师的专业能力。　　龙游县去年5月启动小学“教共体”改革，目前7个“教共体”在编教职工减少了111人，减幅18.66%，中层干部减少了35人，减幅35.71%。“建立‘教共体’内部教师流动机制后，统筹安排校区教师，老师们从‘学校人’向‘教共体人’转变。”龙游县教育局基础教育科科长方小康说，这样有效盘活了“教共体”内的干部教师资源。　　城乡资源互补，教学有特色　　“教共体”建设改革再往深里走，还能在哪些方面努力？浙江一些先行探索地区的学校继续迈步。　　被教育部确定为国家级信息化教学实验区的柯城区，在“一校两区”模式基础上探索升级，原先由城镇优质学校对乡村薄弱学校的单向“输血”，正向城乡资源互补、双向联动与反哺的模式转变。　　传统布局的学校教室，正变为更适合乡村学校特点、更智慧化的新型教学空间。柯城区已有26个新型教学空间建成投入使用。一些试点乡村学校建起了全科教室。利用农村小规模学校小班化的特点，改造原有教学空间布局，将教室划分为多个不同的功能区，开展基于互联网的线上线下同步教学。　　一堂线上线下互动、虚实结合的美术课，正在巨化三小的两个校区同步进行。位于乡村的柯山校区建有兰花园，美术老师通过移动终端将兰花实景分享给本部学生，大家一起观察兰花。老师还在平板电脑上绘制了几枝兰花，将作品上传，通过互联网同步设备，两个校区的学生共同赏兰、画兰。　　“如果说早期以送教、支教为主的模式是1.0版，以接管、托管来实现的‘一校两区’模式是2.0版，那么在信息技术的支撑推动下，通过‘互联网+教育’和新型教学空间建设，两个校区融合为互依共生的发展共同体，可以说是3.0版的探索。”刘秀芬认为，未来，农村学校独有的教学空间特色和优势，逐渐可以反哺城镇学校。　　像柯城区新华小学两个校区合作的“光合森林”项目，借助物联网等技术，让城里孩子感知乡村美景，共同参与户外课程。“我们是‘一校两区’，更要实现‘两区一校’。”校长童伟强说，重新审视城乡教育资源的新差异，挖掘潜在的发展空间，并借助新技术手段，努力实现校区特色资源双向融合、共享共用。　　近几年，浙江省积极探索依托互联网等信息技术优势，促进城乡优质教育资源共建共享，开展“城乡携手、同步课堂”等项目试点，已有3005所城乡学校开展“互联网+义务教育”结对帮扶。浙江还将启动建设“教共体智慧服务平台”，在大数据精准诊断、教育质量评价等方面，赋能“教共体”建设。"
"2021年04月02日","12","文化","为学无他，争千秋勿争一日（传承·大力弘扬科学家精神）","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_2-12.htm","1933年，吴征镒准备报考清华大学植物学时，父亲紧锁眉头问他：“学这个有什么用？”当时，很少人关注植物学，他回答不了父亲，单纯地觉得：我爱花草、做标本，想学好它。　　植物志既是记载植物“户口簿”，也是研究植物的信息库。长久以来，我国没有自己的植物志，想了解在我国生长的植物，不得不翻阅国外的资料。　　抗战时期，清华大学迁往云南。在昆明，吴征镒在茅草房里，用破木箱和洋油桶搭建了一间标本室。从1939年起，历时10年，他系统整理出3万多张植物卡片。1959年，我国启动《中国植物志》编纂，这些小卡片成为基础材料。　　2004年，前后4代科学家接力，126册、5000多万字、9000多幅图版的皇皇巨著《中国植物志》全套出版。至此，我国摸清了植物资源的基本家底，改变了中国植物主要由外国学者命名的历史。“中国植物学界终于站起来了！” 当时，年近90岁，平日寡言少语的吴征镒豪迈地说。　　从编委到第四任主编，吴征镒完成了《中国植物志》2/3的编纂任务。他发表和参与发表的植物新分类群1700多个，是我国发现和命名植物最多的一位植物学家。“为学无他，争千秋勿争一日。”这是吴征镒治学的座右铭。“做学问，一定得沉下去，做‘大’事，不要看眼前的小利。”吴征镒说，搞清楚我国高等植物到底有多少，看上去很简单，但需要静下心来认真钻研，才可能做好。　　吴征镒是中国植物的“活词典”。1983年，他到英国考察。在大英博物馆，有一些过去从中国采集，但至今未能鉴定的标本。他用放大镜观察后，流利地说出了每一种植物的拉丁学名，以及科、属、种、地理分布、曾经记录过的文献等等，现场英国专家赞叹不已。　　了解植物资源家底，有助于资源合理利用与保护。吴征镒还向国家建议建立“自然保护区”和“野生种质资源库”，推动了我国生物多样性的保护和资源可持续利用。　　2008年1月，凭借对植物学研究的杰出贡献，92岁的吴征镒获得2007年度国家最高科学技术奖。他在接受媒体采访时说：“父亲曾经问我，学植物有什么用？当时我答不出来，现在我可以回答了。”　　2007年，他应著名文史学家任继愈先生之邀，出任《中华大典·生物学典》主编，即便眼疾严重，仍坚持每天工作3个小时，搭好了大典的基本框架。2012年春节前夕，他因身体不适入院，在病床上对来访学生说：“很遗憾，工作只开了个头，我恐怕做不完了……”2013年6月20日，中国植物的“活词典”、中国科学院资深院士吴征镒因病在昆明逝世，享年97岁。"
"2021年04月02日","12","文化","看见乡村教育的美（快评）","http://paper.people.com.cn/rmrb/html/2021-04/02/nw.D110000renmrb_20210402_3-12.htm","学校“连”起来、教师动起来、资源沉下去，浙江的探索为城乡教育均衡提供了新思路和新解法。　　这些年，教育不平衡不充分问题日益成为社会关注。可喜的是，改变正在发生。广袤大地上，数百万乡村教师、近百万特岗教师、数十万支教教师在坚守；乡村学校里，建起崭新的教学楼和操场；“云端”课堂中，村里娃也能同享名师好课……　　我们常说：扶上马，送一程。但路终究要自己走，教育水平的提升，关键还在于激发乡村学校自身的发展动力。作为乡村教育的主体，每个乡村学校都有不同特点、面临不同问题。办好学并不意味着盲目跟跑，更不是建成城镇强校的翻版，而是要结合自身情况、挖掘亮点，办乡村孩子真正需要的学校。规模小，教师正好可以倾注更多关注；山林田野、乡土风情，更是天然的特色课堂。如果说拉齐基本线是教育均衡的基本要求，那我们更期待在共同奔跑的路上，看到更多教育的美、乡村的美。"
