date,page,tag,title,url,content
2021年4月1日,1,要闻,在党史学习教育动员大会上的讲话,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_1-01.htm,新华社北京3月31日电??4月1日出版的第7期《求是》杂志将发表中共中央总书记、国家主席、中央军委主席习近平的重要文章《在党史学习教育动员大会上的讲话》。　　文章强调，在全党开展党史学习教育，是党中央立足党的百年历史新起点、统筹中华民族伟大复兴战略全局和世界百年未有之大变局、为动员全党全国满怀信心投身全面建设社会主义现代化国家而作出的重大决策。全党同志要做到学史明理、学史增信、学史崇德、学史力行，学党史、悟思想、办实事、开新局，以昂扬姿态奋力开启全面建设社会主义现代化国家新征程，以优异成绩迎接建党一百周年！　　文章指出，开展党史学习教育意义重大。我们党历来重视党史学习教育。在庆祝我们党百年华诞的重大时刻，在“两个一百年”奋斗目标历史交汇的关键节点，在全党集中开展党史学习教育，正当其时，十分必要。在全党开展党史学习教育，是牢记初心使命、推进中华民族伟大复兴历史伟业的必然要求，是坚定信仰信念、在新时代坚持和发展中国特色社会主义的必然要求，是推进党的自我革命、永葆党的生机活力的必然要求。　　文章指出，开展党史学习教育要突出重点。第一，进一步感悟思想伟力，增强用党的创新理论武装全党的政治自觉。第二，进一步把握历史发展规律和大势，始终掌握党和国家事业发展的历史主动。第三，进一步深化对党的性质宗旨的认识，始终保持马克思主义政党的鲜明本色。第四，进一步总结党的历史经验，不断提高应对风险挑战的能力水平。第五，进一步发扬革命精神，始终保持艰苦奋斗的昂扬精神。第六，进一步增强党的团结和集中统一，确保全党步调一致向前进。　　文章指出，在全党开展党史学习教育要务求实效。全党要高度重视，提高思想站位，立足实际、守正创新，高标准高质量完成学习教育各项任务。一是要加强组织领导。二是要树立正确党史观。三是要切实为群众办实事解难题。四是要注重方式方法创新。要在全社会广泛开展党史、新中国史、改革开放史、社会主义发展史宣传教育，普及党史知识，推动党史学习教育深入群众、深入基层、深入人心。
2021年4月1日,1,要闻,高质量高标准建设全面提速（“十四五”，我们这样开局起步）,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_2-01.htm,习近平总书记指出：“建设雄安新区是千年大计。新区首先就要新在规划、建设的理念上，要体现出前瞻性、引领性。要全面贯彻新发展理念，坚持高质量发展要求，努力创造新时代高质量发展的标杆。”　　雄安的春天，生机勃发。“十四五”开局之年，走在新区大地，只见塔吊林立、卡车穿梭，一派繁忙景象。　　京雄高速公路河北段建设进入最后阶段，雄安新区“四纵三横”骨干交通网络连通八方；　　地下综合管廊RDSG—4标段主体工程全部完成，条条管道陆续铺展；　　容东片区近千栋安置房主体结构已经封顶，雄安商务服务中心项目即将竣工，雄安新区第一个标志性城市建筑群拔地而起；　　首个新基建项目雄安城市计算中心建设项目开始桩基工程施工，建成后将承载超级计算、云计算设施，“智慧雄安”蓄势待发；　　…………　　眼下，雄安新区规划面积1770平方公里的土地上，每天有16万多名建设者在256个建筑工地开展作业。　　拒马河畔，京雄高速公路SG6标段主体横跨而过，进入雄安新区。标段项目副经理孟春飞告诉记者，按照进度目标，以京雄高速等4条高速公路和3条国道省道为主要内容的新区外围骨干路网建设进入关键阶段，京雄高速河北段预计今年5月底建成通车。届时，从雄安新区出发，通过高速公路网60分钟到达北京、天津，90分钟到达石家庄。　　雄安新区规划建设局副局长姚旭介绍，今年，雄安新区将持续加快推进新区内外骨干交通、白洋淀生态治理、水利防洪、市政基础设施、配套公共服务设施等200多项重点工程项目建设。　　春天的白洋淀，碧波荡漾，水草萌发，候鸟蹁跹。安新县自然资源和规划局工作人员齐明介绍，近日通过航拍监测，发现了5只国家一级重点保护鸟类白鹤、78只国家二级重点保护鸟类小天鹅。随着白洋淀生态环境好转，越来越多不同种类的野生鸟类来到这里栖息、觅食，繁衍生息。　　雄安新区坚持控源、截污、治河、补水、搬迁综合施策，决不让污水流入白洋淀。2020年底，白洋淀水质由2017年的劣五类转变为四类，实现“全域四类、局部三类，消除五类”。　　“今年是‘十四五’开局之年，是雄安新区大规模开发建设的关键一年。”河北省委书记王东峰表示，“我们要聚焦建设贯彻新发展理念的创新发展示范区和创造‘雄安质量’，坚持大规模开发建设与承接北京非首都功能疏解并重，加快推进雄安新区高质量高标准建设全面提速。”　　4月1日起，雄安新区首部地方性法规《白洋淀生态环境治理和保护条例》正式施行，从规划管控、环境污染治理、防洪排涝、修复保护等方面，对白洋淀及其流域作出了系统全面规范，以最严格的制度、最严密的法治、最严厉的处罚呵护白洋淀生态环境。　　轻点鼠标，提交资料，企业联络人变更业务即获审批通过，可谓“秒批即办”。中浩华众创空间河北雄安有限公司法人代表赵辉，通过雄安新区政务服务网办理审批事项，亲身体验了新区政务服务的便捷和高效：“现在真正做到了从‘最多跑一次’到‘一次也不用跑’，越来越方便。”　　雄安新区深化“放管服”改革，不断优化营商环境。新区注册企业数已由2018年的713家增至去年的1622家。最近，中科院雄安创新研究院、核电创新中心等创新资源汇聚雄安，区块链、新一代网络等实验室和稀土功能材料制造创新中心在雄安挂牌成立。截至3月26日，新区本级现有企业3881户。　　“打造一流硬件设施环境和优质公共服务，是雄安新区承接北京非首都功能疏解，确保疏解对象来得了、留得住、发展好的重要保障。”河北省委常委、副省长，雄安新区党工委书记、管委会主任张国华表示，“要擦亮‘雄安服务’品牌，以一流的工作作风、一流的营商环境，加快实现形成新形象、建设新功能、发展新产业、聚集新人才、构建新机制的‘五新’目标。”
2021年4月1日,1,要闻,李克强主持召开国务院常务会议,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_3-01.htm,"新华社北京3月31日电??国务院总理李克强3月31日主持召开国务院常务会议，围绕更大激发市场主体活力、增强发展后劲，推出深化“放管服”改革新举措；部署推进减税降费，落实和优化对小微企业和个体工商户等的减税政策。
　　会议指出，按照党中央、国务院部署，扎实做好“六稳”工作、全面落实“六保”任务，必须科学分析当前经济形势，保持清醒头脑，进一步做实“保”的措施，巩固“稳”的基础，促进经济平稳运行、提质增效。
　　会议围绕更大激发市场主体活力、促进稳就业保民生，确定了深化“放管服”改革的具体举措。一是改善就业环境。压减准入类职业资格数量，推进社会化职业技能等级认定。支持新就业形态健康发展。推进灵活就业职业伤害保障试点，扩大工伤保险覆盖面，维护灵活就业人员合法权益。二是推进涉企审批减环节、减材料、减时限、减费用。加快商标专利注册申请全流程电子化。降低守法合规企业和低风险商品通关查验率。减并港口收费。三是支持扩大内需。清理违规设置的二手车迁入限制，合理放宽旅游民宿等市场准入。四是优化民生服务供给。推动更多涉及民生的服务事项“跨省通办”。推进养老机构发展，引入社会力量扩大能力、提高运营和服务质量。五是进一步推进公正监管。坚持放管结合，把公正监管作为简政放权的必要保障，落实部门监管责任，完善监管规则和标准，建立行政裁量权基准制度，创新和加强事中事后监管，对涉及群众生命健康和公共安全的要严格监管。通过深化改革，做到放出活力、管出公平、服出效率。
　　会议指出，今年在调整一些阶段性政策的同时，不搞“急转弯”，采取对冲措施帮助市场主体恢复元气，巩固经济恢复基础。会议确定了进一步支持小微企业、个体工商户和先进制造业的税收优惠政策。一是加大小微企业所得税优惠力度并将个体工商户纳入优惠政策范围，从今年1月1日起至明年底，对小微企业和个体工商户年应纳税所得额不到100万元部分，在现行优惠政策基础上，再减半征收所得税，进一步降低实际税负。二是从今年4月1日起至明年底，将小微企业、个体工商户等小规模纳税人增值税起征点，由现行月销售额10万元提高到15万元。三是从今年4月1日起，将运输设备、电气机械、仪器仪表、医药、化学纤维等制造业企业纳入先进制造业企业增值税留抵退税政策范围，实行按月全额退还增量留抵税额。上述政策加上已出台税收优惠政策，预计全年新增减税超过5500亿元。会议强调，在落实减税政策的同时，要有序合理压减非税收入，坚决防止各种名目乱收费增加企业负担。会议要求，要多用公平普惠的政策和改革，使市场主体更大受益，提升活跃度。同时引导地方利用财政收入恢复性增长合理降低政府杠杆率，防止盲目铺新摊子，增强财政可持续性。
　　会议还研究了其他事项。"
2021年4月1日,1,要闻,海南昌江核电二期工程正式开工,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_4-01.htm,本报北京3月31日电??（记者冉永平）华能海南昌江核电二期工程项目3月31日正式开工，这也是“十四五”时期开工的首个核电项目。　　昌江核电二期工程位于海南省昌江黎族自治县海尾镇，规划建设两台120万千瓦核电机组。项目预计总投资368.5亿元，计划于2026年底全部投运。该项目由中国华能集团有限公司控股，与中国核工业集团共同建造。　　中国华能集团有关负责人表示，昌江核电二期工程采用具有我国自主知识产权的“华龙一号”技术方案，在“华龙一号”示范工程首堆基础上，针对昌江厂址特点采取了88项设计优化和改进。　　核电具有输出功率大、电源稳定可靠、清洁低碳等特点，昌江核电二期工程建成后，每年可向海南省输送清洁电量180亿千瓦时，对优化海南能源结构具有重要意义。
2021年4月1日,1,要闻,栗战书同蒙古国国家大呼拉尔主席赞丹沙塔尔举行会谈,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_5-01.htm,新华社北京3月31日电??全国人大常委会委员长栗战书31日在北京人民大会堂以视频方式同蒙古国国家大呼拉尔主席赞丹沙塔尔举行会谈。　　栗战书说，习近平主席明确指出，中蒙要永做心相近、情相系、利相融的友邻和善邻。中国始终把蒙古国放在周边外交的重要位置，高度重视深化和发展对蒙睦邻友好关系。近年来，两国高层交往频繁，政治互信增强，经贸合作成果丰硕，人民感情日益深厚。面对新冠肺炎疫情的冲击和影响，中蒙相互理解、相互支持，树立了邻国间合作抗疫的典范，生动诠释了人类命运共同体理念。着眼后疫情时期，中蒙要不断增强政治互信，进一步开展互利互惠合作，加快“一带一路”倡议和“草原之路”倡议的对接落地，更好造福两国人民，推动中蒙全面战略伙伴关系深入发展。　　栗战书指出，中国全国人大同蒙古国国家大呼拉尔长期保持友好交往。2014年建立议会定期交流机制以来，双方交流合作提升到了更高水平。新形势下，愿继续加强立法机构间的友好往来，推动落实两国领导人达成的重要共识和双边合作协议。一是通过灵活方式，保持高层密切交往，促进各专门委员会和友好小组对口交流。二是及时批准、修订或出台有利于双边关系发展的法律文件，为共建“一带一路”及各领域务实合作提供法律保障。三是加强在依法治国、发展经济、改善民生、维护稳定等方面的经验交流，促进共同发展。　　赞丹沙塔尔说，近年来，在双方共同努力下，蒙中在各领域务实合作取得长足发展。在抗击新冠肺炎疫情中，蒙中守望相助，两国人民友谊进一步深化。祝贺中国十三届全国人大四次会议成功召开。蒙古国国家大呼拉尔愿加强同中国全国人大的交流合作，为促进蒙中全面战略伙伴关系作出积极贡献。　　全国人大常委会副委员长白玛赤林参加会谈。
2021年4月1日,1,要闻,中国共产党军队委员会政法委员会工作规定（试行）,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_6-01.htm,"新华社北京3月31日电??近日，中央军委发布《中国共产党军队委员会政法委员会工作规定（试行）》（以下简称《规定》），自2021年4月1日起施行。
　　《规定》是我军第一部专门规范党委政法委员会工作的党内法规，以习近平新时代中国特色社会主义思想为指导，深入贯彻习近平强军思想，深入贯彻习近平法治思想，着眼为实现党在新时代的强军目标、全面建成世界一流军队提供坚强法治保障，系统规范党委政法委员会的设置运行、职能任务和工作制度，对于贯彻落实党领导政法工作的原则制度、加强中央军委对军队政法工作集中统一领导、确保宪法法律在军队正确统一实施具有重要意义。
　　《规定》共8章37条，涵盖党委政法委员会设置、领导指导关系、职责、决策和执行、工作制度、监督和责任等方面。《规定》紧紧围绕政法姓党的根和魂，牢牢把握党委政法委员会作为党委领导和管理政法工作职能部门的定位，把坚持党对军队绝对领导、坚持聚焦备战打仗、坚持厉行法治、坚持问题导向和底线思维、坚持面向部队服务官兵的原则贯穿始终；按照精简、统一、效能要求，在编设政治工作部门的团以上部队和相当于团以上部队的单位普遍设立党委政法委员会，建立健全上下贯通的政法组织体系；适应深化国防和军队改革要求，明确各级各类单位党委政法委员会职责任务和领导指导关系，强化服务保障建设、改革和备战打仗的功能作用；坚决贯彻民主集中制，规范党委政法委员会议事决策的原则、范围、程序和要求，提升履行职责的制度化、规范化、科学化水平；坚持“打铁必须自身硬”，建立理论学习、请示报告、教育培训等制度机制，压紧压实执法监督检查、纪律作风督查以及考察考评、督促整改等监督责任，为提升履职能力和工作水平奠定坚实基础。"
2021年4月1日,1,要闻,童心向党 快乐成长,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_7-01.htm,党的历史是最生动、最有说服力的教科书。为迎接中国共产党建党100周年，江苏省扬州市育才小学围绕“童心向党?快乐成长”主题，开展绘画、学党史等活动，抓好青少年学习教育，引导学生了解党的百年光辉历程，理解中华文化和中国道路，厚植爱党、爱国、爱社会主义的情感，让红色基因、革命薪火代代传承。　　图为学生们参加主题活动，表达对党的无限热爱。　　孟德龙摄?（人民视觉）
2021年4月1日,2,要闻,京津冀协同发展 结硕果  谱新篇（经济新方位·加快推动京津冀协同发展）,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_1-02.htm,"2017年4月1日，中共中央、国务院决定设立河北雄安新区的消息公布。设立雄安新区，是以习近平同志为核心的党中央深入推进京津冀协同发展作出的一项重大决策部署。
　　推动京津冀协同发展，是习近平总书记亲自谋划、亲自部署、亲自推动的国家战略。7年来，三省市和有关部门狠抓落实，《京津冀协同发展规划纲要》确定的到2020年的目标任务全面顺利完成。
　　“十四五”规划和2035年远景目标纲要提出，加快推动京津冀协同发展。本版推出报道，看开局之年协同发展如何继续砥砺奋进、取得新进展。
　　——编??者??
　　
　　雄安新区1770平方公里的土地上，塔吊林立、热火朝天。新区规划体系基本建立，启动区和起步区120多个重大项目建设加快推进，容东片区900多栋安置住宅完成主体结构封顶，白洋淀淀区水质由劣Ⅴ类转为Ⅳ类，逐步恢复碧波万顷的美丽风光……
　　雄安新区作为北京非首都功能疏解集中承载地，与北京城市副中心形成北京新的“两翼”。设立雄安新区是以习近平同志为核心的党中央深入推进京津冀协同发展作出的重大选择，以规划建设河北雄安新区为重要突破口，探索人口经济密集地区优化开发的新模式，谋求区域发展的新路子，打造经济社会发展新的增长极。
　　推动京津冀协同发展，是习近平总书记亲自谋划、亲自部署、亲自推动的国家战略。“7年来，在党中央、国务院坚强领导下，京津冀三省市和有关部门单位顾全大局、携手逐梦，京津冀协同发展扎实推进、硕果累累，《京津冀协同发展规划纲要》确定的到2020年的目标任务全面顺利完成。”国家发改委地区经济司有关负责人近日表示。
　　找准“棋眼”促发展
　　牢牢抓住北京非首都功能疏解这个“牛鼻子”
　　走进河北廊坊精雕数控机床制造有限公司，一台台高精密数控机床正加紧生产。
　　“2014年京津冀协同发展战略实施，我们位于廊坊的新厂房投入使用，集团随即迎来爆发增长，7年来产量和订单量都翻番！”北京精雕科技集团有限公司党委书记、执行总裁吴爱军说。
　　廊坊精雕是京津冀协同发展的代表性项目。2011年，集团遭遇发展瓶颈：位于北京中关村门头沟科技园的总部用地紧张。距总部车程仅1个多小时的廊坊，进入企业管理层视野。
　　“生产空间足够大，土地成本也比北京低不少。”吴爱军说，企业将数控机床的整机制造基地搬到廊坊。北京总部则“轻装上阵”，高速加工中心已具备“0.1微米进给、1微米切削、纳米级表面粗糙度”的加工能力。天津则设立精密零部件研发和制造基地，预计2022年底一期工程将投入使用。企业北京研发、津冀制造的产业布局越发清晰，前景也越发广阔。
　　按照高质量发展要求，有力有序有效疏解北京非首都功能，治理北京“大城市病”，是京津冀协同发展这盘大棋的“棋眼”。一招活，则全盘活。7年来，北京疏解一般制造业企业近3000家，疏解提升区域性批发市场和物流中心约1000个。
　　功能疏解为首都“高精尖”经济发展创造了空间，科技、信息等领域“高精尖”产业新设市场主体占比从2013年的40.7%上升至2020年的60%。“在产业疏解承接过程中，京津冀区域协作水平正持续提升。”北京市委市政府京津冀协同办副主任李文红说。
　　深化改革谋共赢
　　持续增强协同发展的内生动力
　　“我们就是京津冀协同发展的成果。”天津清科环保科技有限公司负责人杜川说，他也是清华大学天津高端装备研究院表界面微纳技术研究所常务副所长。
　　2014年7月，天津东丽区政府与清华大学签署协议，联合打造集协同创新、产业孵化、成果转化服务为一体的科技转化和产业孵化平台。
　　如今，清华天津高端院的科研及产业化成果已涵盖机器人与智能制造、微纳制造与节能环保、生医机械与大健康、高端装备四大领域，累计签订科研项目400余项，科研合同经费总额超7亿元，被授权专利139项。
　　“校地合作，可实现基础学科与应用技术、应用场景的有效衔接，推动产学研深度融合，加快科技成果转化。”东丽区副区长李光华说。
　　高端院三四十公里外，2016年成立的天津滨海—中关村科技园，现已累计注册企业2000多家，形成智能科技产业集群。在南开区，闲置多年的老国有企业“东方商业大厦”被北京中关村意谷（北京）科技服务有限公司改建为中关村e谷（南开）创想世界，入驻的80余家互联网、文化创意企业中，1/3来自北京。“接下来，天津将进一步推动京津冀产业链与创新链深度融合，加速北京科技成果在津转化和产业化，携手打造我国自主创新的重要源头和原始创新主要策源地，加快建设全国先进制造研发基地。”天津市发改委副主任、市京津冀协同办公室常务副主任孙虎军说。
　　坚持新发展理念，向改革创新要动力，是京津冀协同发展取得显著成果的原因之一。国家发改委地区经济司有关负责人表示，京津冀区位优势显著，创新要素集聚，产业基础雄厚，综合实力较强，但发展不平衡不充分的问题也比较突出。7年来，加快破除各种体制机制障碍，构建协同创新体系，积极转方式、优结构、换动力，重点领域协同发展不断取得新突破。
　　交通一体化加快建设。京津冀城际铁路投资公司完成股权结构调整，京张高铁、京沈高铁建成通车，“轨道上的京津冀”加快构建，京津冀机场群和港口群协同联动建设深入推进。
　　产业升级转移扎实推进。北京现代汽车沧州工厂投产以来累计产销整车超50万辆，北京·沧州生物医药园共吸引95家北京医药企业签约落户，北京大数据产业链部分环节加快向张北云计算产业基地集聚。
　　创新驱动作用日益凸显。李文红表示，截至目前，中关村企业已在天津、河北设立8800余家分支机构，达成技术合同成交额1410亿元，年技术合同成交额由2014年的83.1亿元增长至2020年的347亿元，科技创新链加快形成。
　　民生改善补短板
　　基本公共服务均等化水平持续提高
　　“昨晚睡得好吧？”“戴奶奶，降温了，注意添衣。”每天早晚，护士、保洁员都会问候戴百祺。这位90岁的北京老人，入住燕达金色年华健康养护中心已经8年，“独居老人就怕出事没人知道，住在这里不用担心。”
　　养护中心看上去颇像花园式小区，房间内设施完备，超市、食堂、理发店配置齐全。“说是在河北，其实跟北京通州就隔了一条河。”戴百祺最满意的，还是养护中心配有的一家三甲医院——燕达医院。这家医院与北京中医医院等大医院有合作，北京专家会上门出诊。“我想要的这里都有，吃完早饭就和老姐妹一起唱歌，很舒心！”
　　随着京津冀协同发展深入推进，交通等公共服务逐步对接，燕达金色年华健康养护中心一期2300张床位已全部住满，入住老人大多来自北京。2017年1月，北京医保可在燕达医院直接结算，率先开启京冀医保跨省域结算。
　　不仅北京居民在河北养老方便，河北居民到京津两地就医也方便。截至目前，河北省省本级和13个市群众就医时，可持社保卡在北京23家、天津62家试点医疗机构进行个人账户、普通门诊统筹（根据参保地政策）直接结算。京津冀等地区医疗机构临床检验结果互认项目达43个、互认医疗机构近500家。
　　京津冀三地积极推进民生领域补短板强弱项，基本公共服务均等化水平持续提高。
　　教育合作逐步深化。京津冀高校联盟建设深入推进，优质课程共享平台、开放优势科研资源等重点合作任务持续深化。中小学教师互派培养项目深入实施，河北省累计上千名骨干校长教师到京津优质学校跟岗培训。
　　对口帮扶深入推进。京津19个区对河北省张家口、承德等28个县（区）实施帮扶项目757个，帮助8.1万贫困人口就地就近就业。
　　国家发改委地区经济司有关负责人表示，“十四五”时期，牢牢把握北京非首都功能疏解这个“牛鼻子”，加快完善功能疏解激励约束政策体系，高标准高质量建设雄安新区。按照“在建一批、新开工一批、储备论证一批”的原则，加快推进雄安新区启动区和起步区重大基础设施及配套公共服务设施建设。研究制定雄安新区承接北京非首都功能疏解的配套支持政策，增强雄安新区对北京非首都功能和人口的吸引力；创新雄安新区人才引进与激励政策体系，优化就业创业、成长成才环境，吸引优秀人才和高校毕业生在雄安新区落地扎根。
　　此外，协同推进交通、生态、能源、公共服务等重点领域发展。久久为功，加倍努力，京津冀协同发展将取得新突破和实实在在的更大成效。
　　本期统筹：王 军 蒋雪婕?
　　版式设计：蔡华伟"
2021年4月1日,3,要闻,中俄经贸合作稳步前行,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_1-03.htm,统计数据显示，中俄双边贸易额已经连续3年突破千亿美元，中国连续11年成为俄罗斯第一大贸易伙伴。在过去一年里，双方守望相助，共抗疫情，推动经贸、科技创新等领域务实合作逆势前行。　　能源贸易：更繁荣　　不久前，俄罗斯各大媒体都关注到这样一条消息：俄罗斯政府批准中国石化参与西布尔公司“阿穆尔天然气化工综合体”投资项目。这一项目规模庞大，投资额预计达107亿美元。投产后，俄罗斯最大的天然气加工和天然气化工集群将在远东形成。“中国石化参与这一项目，是俄罗斯具有投资吸引力的又一佐证。”俄政府表示。　　经受住疫情考验，中俄双边贸易自去年下半年起逐步回暖，中国在俄外贸中的占比进一步提升。这一成绩的取得与两国在能源、化工和核能等领域的大项目合作密不可分。　　2020年12月，中俄东线天然气管道中段投产运营。中国京津冀地区供暖用上了来自俄罗斯的清洁天然气。去年全年，俄罗斯通过东线天然气管道对华输气41亿立方米。“对中国市场的天然气供应超出计划数量，高出合同规定的年供应量。中国市场发展迅速。”俄罗斯天然气工业股份公司总裁米勒称赞东线天然气管道是“俄中两国互利共赢的伟大工程”。　　俄罗斯煤炭出口市场近年也在向东转移。2020年，俄罗斯向亚太地区出口煤炭1.22亿吨。《中俄总理第二十五次定期会晤联合公报》明确指出：“支持双方企业按照市场化原则开展煤炭贸易合作。”中国驻俄罗斯大使张汉晖表示，在中俄双方共同努力下，两国煤炭贸易将释放更多发展潜能。　　另据俄罗斯卫星通讯社报道，今年2月，俄罗斯万吨液化天然气运输船“克里斯托夫·马哲睿”号首次在这一时段成功通过北极航路东端，将天然气从俄罗斯萨别塔港运输到江苏如东。俄罗斯驻华大使杰尼索夫表示：“毫无疑问，俄罗斯和中国在大型项目的建设性合作，将在2021年继续保持旺盛势头。”　　跨境电商：更红火　　“新手机信号好，电量足，较大的内存容量支持保存更多照片。我的上一款手机也是中国品牌，用了3年，质量可靠。”在中国电商平台上，一名俄罗斯顾客对新买的中国品牌手机如此评价。　　疫情防控期间，在线工作、学习、娱乐需求旺盛。“宅经济”拉动了俄罗斯电子产品销量。2020年，中国制造的智能手机跃居俄罗斯市场销量榜首，其他中国电子产品对俄出口也实现快速增长，笔记本电脑、平板电脑出口分别增长39%和29%。　　俄中友好、和平与发展委员会地方合作理事会副主席谢苗诺夫认为，疫情防控常态化下，电子和数字技术在俄罗斯的应用加速发展。“俄中贸易使用新工具、新平台的需求日益扩大。跨境电商等新业态快速发展，将推动俄中双边贸易额继续增长。”　　绥芬河、黑河等城市设立了面向俄罗斯的跨境电商综合试验区，进一步推动中俄跨境贸易，电商企业依托区位优势快速发展。借助短视频、直播带货等营销方式，截至去年年末，黑河电商企业“俄品多”销售额近7000万元人民币。　　日渐完善的交通和物流设施也为中俄经贸升级创造条件。2020年，两国合作建设的首座“中欧班列”驿站别雷拉斯特物流中心在莫斯科投入运营。　　得益于地理优势，作为运输走廊，俄罗斯成为众多中欧班列的途经地和中转地。中欧班列有力支持了中俄双边贸易发展。俄罗斯铁路物流公司发布消息称，2020年从中国经俄罗斯到欧盟的集装箱铁路过境运输量增长55%。俄铁物流总裁德米特里·穆列夫认为：“考虑到运输物流服务市场的发展趋势，2021年运输量将继续增长。”　　农贸合作：更“香甜”　　最近，中国驻俄罗斯大使馆在网上开展一项名为“我最喜欢的俄罗斯商品”调查。冰激凌、乳制品还有蛋糕、巧克力的受欢迎度靠前。去年的第三届中国国际进口博览会直播带货环节，俄罗斯糖果和冰激凌备受中国消费者青睐，三秒内全部售罄。俄罗斯农业部农产品出口发展中心负责人德米特里·克拉斯诺夫表示，2020年俄罗斯对华糖果出口总额增长20%。　　受欢迎的不仅仅是糖果。香肠、肉类、大麦、小麦、植物油、海产品……越来越多的俄罗斯美食摆上中国百姓餐桌。中国商务部数据显示，2020年两国农产品贸易额达55.5亿美元，创历史新高，其中中方进口40.9亿美元，增长13.7%，中国跃升为俄农产品和肉类第一大出口市场。　　农产品贸易最能让两国民众切实体会到经贸合作的利好。中俄之间跨境运输体系不断完善，通关便利化水平不断提高，为农产品贸易的进一步扩大打下了基础。记者日前从中国驻俄罗斯大使馆获悉，中俄两国主管部门正在商签新的货物和服务贸易发展路线图，旨在全力提升贸易效能，拓展双向投资和战略性大项目合作。　　伴随着中俄经贸关系提质升级，两国务实合作不断深入，俄罗斯高附加值产品对华合作优势日益凸显。中俄科技创新年于2020年正式开启，双方将实施1000多个合作项目，成为两国开展主题年以来最长的合作清单。中俄在新冠疫苗和药物研发生产，以及人工智能、云经济、物联网、大数据等新业态领域合作日益密切。　　张汉晖表示，中俄两国经济高度互补，双边经贸关系的强大韧性和巨大潜力决定了疫情的冲击是暂时的，双边经贸合作基本面并未改变，长期向好的合作态势也不会改变，“2021年双边经贸合作将大踏步前进，取得更加丰硕的成果。”　　（本报莫斯科电）
2021年4月1日,3,要闻,“要战胜疫情就必须加强合作”,http://paper.people.com.cn/rmrb/html/2021-04/01/nw.D110000renmrb_20210401_2-03.htm,当地时间3月30日，中国—世界卫生组织新冠病毒溯源联合研究报告在日内瓦正式发布。报告以详实的数据和材料、科学的分析和论证，指出新冠病毒“极不可能”通过实验室传人。世卫组织总干事谭德塞发表书面声明表示，联合专家组的工作加深了人们对新冠病毒的认识。这份报告不是研究的结束，而是一个重要的开始，全球必须继续依照科学指引开展溯源研究。　　研究发现，许多早期病例与武汉华南海鲜市场有关联，但也有许多病例与其他市场有关，还有些早期病例与任何市场都没有关联。专家组还评估了不同国家已发表的研究数据。这些研究表明，新冠病毒的传播一般先于当地最初发现病例数周。一些国家有疑似阳性样本发现时间早于武汉首例病例，这表明在这些国家有传播未被发现的可能性。报告认为，对这些潜在早期新冠病毒传播事件进行调查“是重要的”。　　“我们与没有根据的怀疑、观点、理论保持距离，不能将那些东西当作系统性方法来验证病毒来源的假说。”联合专家组外方组长彼得·安巴雷克在当天的记者会上表示。　　联合专家组多位外方专家高度肯定中方在溯源研究和撰写报告中的合作。来自荷兰的玛丽安·科普曼斯博士表示，中外专家在武汉实地调研之前就已多次远程协作，即便外方专家在华隔离期间仍在联合办公，双方建立起非常深入的合作关系。　　安巴雷克感谢中国专家组与国际专家组的合作和努力，以及武汉民众对国际专家组工作的支持。他表示，在将近一个月的时间里，中外专家夜以继日的工作，是“一段难得的经历”。　　“我认为报告的篇幅、材料的数量、报告的结果分析和数据，本身就已经说明了合作的程度。”安巴雷克说：“中国方面收集了大量数据，与我们共同进行分析，并克服困难安排行程，为我们的工作提供便利。后续还有大量研究工作需要跟进，相信双方仍会继续合作落实报告中的各项建议。”　　来自澳大利亚的多米尼克·德怀尔教授强调，无论如何都不应忘记武汉人民在疫情初期遭遇的艰难时刻和他们应对疫情的行动。　　报告提出了下一步开展新冠病毒溯源工作的建议，包括继续在全球范围内寻找可能的新冠病毒动物宿主、加大对圈养野生动物的检测、继续对相关冷链进行追溯研究、成立全球专家组以支持病毒溯源联合研究等。　　“病毒没有国界，要战胜疫情就必须加强合作。”美国动物学家彼得·达萨克表示，希望联合专家组所展现的合作精神持续下去，最终帮助所有国家战胜疫情。　　（本报布鲁塞尔3月31日电）
